,pairId,playerId1,playerId2,player1Name,player2Name,icetime,corsiPercentage,cf_inf_on1,cf_inf_on2,cf_inf_on1_std,cf_inf_on2_std
0,84784388476393,8478438,8476393,Thomas Novak,Nick Cousins,13462.0,0.61,-0.23169811320754718,-0.09877841055906411,6.114611494733068,6.577260235295658
1,84784388481577,8478438,8481577,Thomas Novak,Philip Tomasino,13462.0,0.61,-0.23169811320754718,-0.14138970023059183,6.114611494733068,6.913932820139472
2,84793738474053,8479373,8474053,Jonathan Dahlen,Logan Couture,34214.0,0.5,-0.14496639784946247,0.007775139154105659,5.8121974151908375,4.8772364132957335
3,84793738478414,8479373,8478414,Jonathan Dahlen,Timo Meier,34214.0,0.5,-0.14496639784946247,0.03406477091589266,5.8121974151908375,4.47415613939415
4,84815578477919,8481557,8477919,Matt Boldy,Frederick Gaudreau,53436.0,0.52,0.01957821321819997,-0.022229152031252752,5.6679073225869665,5.249129739429035
5,84815578477942,8481557,8477942,Matt Boldy,Kevin Fiala,53436.0,0.52,0.01957821321819997,0.010050981745609033,5.6679073225869665,4.85074718726363
6,84827058474679,8482705,8474679,Cole Sillinger,Gustav Nyquist,12246.0,0.51,-0.03819806752504856,0.002107430293776247,5.549058007553101,4.965983015654164
7,84827058477416,8482705,8477416,Cole Sillinger,Oliver Bjorkstrand,25746.0,0.5309741319039851,-0.0928857979851655,-0.02110567895665827,5.549058007553101,4.972203634465585
8,84827058474161,8482705,8474161,Cole Sillinger,Jakub Voracek,28742.0,0.5075756732308121,-0.055565220146092775,0.007854929620023765,6.2971021136647085,5.577163153081405
9,84827058482475,8482705,8482475,Cole Sillinger,Yegor Chinakhov,15242.0,0.47,0.013644929095822322,-5.551115123125783e-17,4.81143507239556,5.000000000000001
10,84795208475760,8479520,8475760,Brandon Duhaime,Nick Bjugstad,21554.0,0.48,0.019157496707311872,0.017358387438277778,4.785307844747711,4.724283443087637
11,84795208481477,8479520,8481477,Brandon Duhaime,Nico Sturm,21554.0,0.48,0.019157496707311872,-0.004023290229378806,4.785307844747711,5.055243613943545
12,84793838479390,8479383,8479390,Boris Katchouk,Taylor Raddysh,20188.0,0.5,-0.07834291187739473,-0.07120609035050424,5.708839828791919,5.836905093822699
13,84793838479525,8479383,8479525,Boris Katchouk,Ross Colton,20188.0,0.5,-0.07834291187739473,0.02809803646282516,5.708839828791919,4.618226067344445
14,84815778476393,8481577,8476393,Philip Tomasino,Nick Cousins,26996.0,0.5498399762927841,-0.09647311830742272,-0.0375804639354832,4.616862076555862,4.5722189333997845
15,84815778477446,8481577,8477446,Philip Tomasino,Michael McCarron,13534.0,0.49,0.028340677287153837,-0.01389117223451719,4.616862076555862,5.2028439218962665
16,84793908479525,8479390,8479525,Taylor Raddysh,Ross Colton,20188.0,0.5,-0.07120609035050424,0.02809803646282516,5.836905093822699,4.618226067344445
17,84816178478856,8481617,8478856,Vasily Podkolzin,Conor Garland,12788.0,0.44,0.07745524034852241,0.09032797210137761,3.895238817473354,3.5772757391822996
18,84816178480012,8481617,8480012,Vasily Podkolzin,Elias Pettersson,12788.0,0.44,0.07745524034852241,0.07828451816911602,3.895238817473354,3.7625518835627054
19,84820788477946,8482078,8477946,Lucas Raymond,Dylan Larkin,89270.0,0.4947265598745379,0.019773498190727323,0.014061503183046942,4.642902945928026,4.402979322121874
20,84820788477952,8482078,8477952,Lucas Raymond,Robby Fabbri,12242.0,0.47,0.024093903621710266,0.012746439421198075,4.642902945928026,4.797397590625171
21,84820788476480,8482078,8476480,Lucas Raymond,Vladislav Namestnikov,22226.0,0.52,-0.043383244349885663,-0.03038135186276325,5.579527467394839,5.482452585935775
22,84820788477479,8482078,8477479,Lucas Raymond,Tyler Bertuzzi,54802.0,0.49,1.1102230246251565e-16,-0.004399679726110606,4.999999999999999,5.062434904436192
23,84820938476882,8482093,8476882,Seth Jarvis,Teuvo Teravainen,23810.0,0.49,0.11538497324959296,0.06185892084006461,3.7101601967617537,4.019523266518965
24,84820938478427,8482093,8478427,Seth Jarvis,Sebastian Aho,41446.0,0.5070207016358635,0.26133183575075114,0.04940560305036856,3.7101601967617537,3.9714078522460134
25,84820938480830,8482093,8480830,Seth Jarvis,Andrei Svechnikov,17636.0,0.53,0.031033533533533664,0.03293342427711876,4.602595083751952,4.484098969925061
26,84821108481068,8482110,8481068,Dawson Mercer,Yegor Sharangovich,24134.0,0.52,-0.030894727338389327,-0.005113202521530691,5.396706413593514,5.072450380569556
27,84821108481559,8482110,8481559,Dawson Mercer,Jack Hughes,24134.0,0.52,-0.030894727338389327,-0.005710908765072742,5.396706413593514,5.084593354370328
28,84821108477341,8482110,8477341,Dawson Mercer,Andreas Johnsson,34298.0,0.5540317219662955,-0.10831350286846303,-0.035958923808323884,5.9605491658797645,5.43515829938577
29,84821108479407,8482110,8479407,Dawson Mercer,Jesper Bratt,20470.0,0.55,-0.07133714142761843,-0.0552526145305311,5.9605491658797645,5.860631054704675
30,84821108475193,8482110,8475193,Dawson Mercer,Tomas Tatar,13828.0,0.56,-0.07519282182750414,-0.002808498225858269,6.090439693811195,5.045284274296986
31,84821138477933,8482113,8477933,Anton Lundell,Sam Reinhart,23826.0,0.62,-0.11930799867241937,-0.1132816900750594,6.304514165314991,6.800693002497354
32,84821138478975,8482113,8478975,Anton Lundell,Mason Marchment,23826.0,0.62,-0.11930799867241937,-0.06148296593186364,6.304514165314991,5.797545079599076
