lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,player1Name,player2Name,player3Name
847793984780478479318,Bunting-Matthews-Nylander,line,37,7659.0,0.58,0.57,0.54,81.99,8.26,6.0,19.11,2.7,43.87,31.05,7.93,8.14,7.82,75.0,36.0,50.0,161.0,3.0,8.0,0.0,22.0,5.0,38.0,35.0,72.0,108.0,6.0,12.0,72.0,40.0,21.0,17.0,75.0,28.0,8.0,2.68,3.55,2.02,2.0,1.0,0.0,158.15,111.0,108.94,10.0,1.26,1.71,1.8,7.72,7.58,7.43,71.15,5.94,4.63,16.8,2.18,37.56,28.88,5.7,6.01,5.77,75.0,21.0,26.0,122.0,9.0,6.0,1.0,26.0,2.0,21.0,32.0,66.0,87.0,5.0,10.0,60.0,66.0,19.0,28.0,70.0,20.0,6.0,1.87,2.48,1.6,0.0,7.0,2.0,121.87,96.0,96.17,21.0,0.96,0.88,0.88,6.02,6.12,6.06,8477939,8478047,8479318,William Nylander,Michael Bunting,Auston Matthews
847845884800748482475,Texier-Roslovic-Chinakhov,line,3,612.0,0.67,0.67,0.67,7.64,0.81,0.52,1.72,0.25,3.7,3.01,0.8,0.8,0.79,9.0,1.0,2.0,12.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,9.0,10.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,4.0,1.0,0.06,0.44,0.32,0.0,0.0,0.0,11.06,10.0,9.22,0.0,0.11,0.09,0.09,0.84,0.83,0.82,3.97,0.4,0.24,0.72,0.1,2.05,1.49,0.4,0.45,0.44,5.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,4.0,7.0,3.0,0.0,1.0,2.0,3.0,0.0,0.08,0.32,0.0,0.0,2.0,0.0,6.69,5.0,5.58,0.0,0.05,0.0,0.0,0.45,0.51,0.5,8478458,8480074,8482475,Jack Roslovic,Alexandre Texier,Yegor Chinakhov
847347384774978478233,Mangiapane-Monahan-Lucic,line,12,936.0,0.57,0.52,0.57,11.19,0.8,0.74,2.85,0.36,6.5,4.76,0.77,0.88,0.86,12.0,4.0,1.0,17.0,1.0,1.0,0.0,4.0,0.0,4.0,6.0,11.0,15.0,0.0,0.0,11.0,7.0,1.0,4.0,13.0,2.0,1.0,0.33,0.25,0.21,0.0,1.0,0.0,18.54,16.0,17.18,2.0,0.15,0.21,0.21,0.73,0.8,0.79,8.74,0.6,0.53,2.46,0.35,4.75,3.31,0.56,0.59,0.56,9.0,3.0,4.0,16.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,8.0,11.0,0.0,0.0,9.0,3.0,4.0,5.0,10.0,2.0,0.0,0.31,0.28,0.0,0.0,1.0,0.0,14.83,12.0,11.25,2.0,0.11,0.25,0.25,0.46,0.44,0.43,8473473,8477497,8478233,Milan Lucic,Sean Monahan,Andrew Mangiapane
847750384784588479941,Domi-Danforth-Roslovic,line,7,1259.0,0.26,0.45,0.47,9.93,0.46,0.62,2.68,0.37,6.17,4.71,0.46,0.47,0.47,11.0,4.0,4.0,19.0,0.0,0.0,0.0,2.0,0.0,7.0,6.0,11.0,15.0,2.0,7.0,7.0,13.0,4.0,3.0,15.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,19.69,15.0,15.4,2.0,0.12,0.0,0.0,0.58,0.6,0.59,12.54,1.3,0.92,2.61,0.39,6.82,4.96,1.27,1.27,1.25,12.0,5.0,6.0,23.0,1.0,1.0,0.0,3.0,0.0,6.0,6.0,11.0,16.0,2.0,7.0,6.0,11.0,1.0,3.0,9.0,8.0,0.0,0.26,1.03,0.0,0.0,1.0,0.0,23.11,17.0,16.99,2.0,0.2,0.1,0.1,1.39,1.37,1.36,8477503,8478458,8479941,Max Domi,Jack Roslovic,Justin Danforth
847170784750988482089,Neighbours-Bozak-Neal,line,6,1599.0,0.36,0.35,0.39,7.72,0.41,0.41,2.09,0.25,4.37,3.46,0.4,0.43,0.42,8.0,3.0,2.0,13.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,7.0,10.0,1.0,2.0,7.0,13.0,0.0,6.0,10.0,1.0,0.0,0.21,0.2,0.0,0.0,1.0,0.0,13.64,11.0,11.51,6.0,0.08,0.2,0.2,0.29,0.3,0.3,12.04,0.71,0.82,3.02,0.4,6.83,5.21,0.7,0.68,0.67,11.0,6.0,7.0,24.0,0.0,1.0,0.0,5.0,0.0,6.0,5.0,11.0,17.0,4.0,8.0,21.0,20.0,7.0,4.0,15.0,2.0,0.0,0.43,0.28,0.0,0.0,0.0,0.0,22.91,17.0,16.39,1.0,0.17,0.03,0.03,0.85,0.82,0.8,8471707,8475098,8482089,James Neal,Tyler Bozak,Jake Neighbours
847341984784988480021,Marchand-Studnicka-Debrusk,line,3,1646.0,0.66,0.61,0.62,17.0,1.13,1.01,4.37,0.52,8.84,7.13,1.12,1.18,1.18,16.0,7.0,7.0,30.0,1.0,2.0,0.0,3.0,0.0,10.0,7.0,15.0,22.0,2.0,4.0,10.0,10.0,2.0,7.0,19.0,3.0,1.0,0.4,0.49,0.24,0.0,0.0,1.0,30.75,23.0,23.55,5.0,0.21,0.19,0.19,1.14,1.19,1.19,9.85,0.59,0.59,2.46,0.31,5.69,4.36,0.58,0.55,0.55,10.0,4.0,5.0,19.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,10.0,14.0,4.0,8.0,12.0,18.0,7.0,7.0,11.0,3.0,0.0,0.26,0.33,0.0,0.0,0.0,0.0,18.27,14.0,13.37,5.0,0.12,0.0,0.0,0.7,0.66,0.66,8473419,8478498,8480021,Brad Marchand,Jake DeBrusk,Jack Studnicka
847634584799418482705,Hofmann-Sillinger-Danforth,line,3,1012.0,0.53,0.5,0.5,7.88,0.59,0.51,1.74,0.24,4.55,3.38,0.58,0.57,0.56,6.0,5.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,9.0,1.0,2.0,11.0,7.0,2.0,1.0,7.0,4.0,0.0,0.15,0.44,0.0,1.0,1.0,0.0,15.53,11.0,10.74,0.0,0.1,0.0,0.0,0.69,0.67,0.66,7.85,0.52,0.52,1.98,0.26,4.58,3.15,0.52,0.55,0.54,8.0,3.0,5.0,16.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,8.0,11.0,0.0,0.0,8.0,2.0,1.0,1.0,9.0,2.0,0.0,0.31,0.21,0.0,0.0,0.0,0.0,16.89,11.0,11.45,0.0,0.1,0.0,0.0,0.62,0.66,0.65,8476345,8479941,8482705,Gregory Hofmann,Justin Danforth,Cole Sillinger
847576884768268478891,Schwartz-Gourde-Appleton,line,7,690.0,0.48,0.46,0.45,6.29,0.6,0.45,1.63,0.26,3.6,2.46,0.59,0.57,0.56,7.0,2.0,3.0,12.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,8.0,0.0,0.0,4.0,9.0,0.0,0.0,8.0,0.0,1.0,0.35,0.0,0.25,1.0,0.0,0.0,11.66,9.0,8.71,0.0,0.09,0.25,0.25,0.44,0.43,0.43,8.6,0.65,0.6,2.22,0.28,4.05,3.2,0.62,0.66,0.64,7.0,4.0,3.0,14.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,5.0,9.0,0.0,0.0,5.0,6.0,0.0,0.0,7.0,4.0,0.0,0.24,0.41,0.0,0.0,2.0,0.0,14.51,11.0,11.34,0.0,0.13,0.1,0.1,0.67,0.68,0.67,8475768,8476826,8478891,Jaden Schwartz,Yanni Gourde,Mason Appleton
847515884751708477964,Barbashev-Schenn-O'Reilly,line,4,762.0,0.56,0.58,0.55,8.24,0.68,0.43,2.38,0.29,3.95,3.29,0.67,0.66,0.65,9.0,2.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,5.0,3.0,7.0,4.0,0.0,0.16,0.52,0.0,2.0,2.0,0.0,14.21,11.0,11.04,1.0,0.09,0.0,0.0,0.77,0.74,0.74,6.68,0.53,0.42,1.77,0.19,3.58,2.51,0.48,0.54,0.49,6.0,3.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,8.0,0.0,0.0,5.0,5.0,3.0,3.0,7.0,2.0,0.0,0.25,0.28,0.0,1.0,0.0,0.0,9.94,9.0,9.01,2.0,0.09,0.0,0.0,0.62,0.63,0.57,8475158,8475170,8477964,Ryan O'Reilly,Brayden Schenn,Ivan Barbashev
847062184740348477930,Maroon-Bellemare-Perry,line,70,35199.0,0.57,0.51,0.51,269.53,25.73,19.13,59.7,8.45,149.9,108.08,24.92,26.22,25.35,261.0,110.0,108.0,479.0,25.0,24.0,5.0,67.0,10.0,125.0,120.0,236.0,346.0,49.0,133.0,284.0,319.0,50.0,44.0,264.0,78.0,29.0,8.07,9.32,8.35,11.0,4.0,10.0,489.27,371.0,376.83,29.0,3.97,5.94,5.94,23.76,23.96,23.65,253.59,19.15,16.88,58.93,8.04,143.89,106.11,18.72,18.99,18.59,250.0,103.0,104.0,457.0,9.0,10.0,0.0,70.0,13.0,110.0,141.0,241.0,344.0,47.0,129.0,247.0,376.0,71.0,64.0,278.0,66.0,9.0,8.44,8.06,2.65,4.0,4.0,1.0,453.31,353.0,349.56,39.0,3.48,2.42,2.42,20.21,20.12,19.82,8470621,8474034,8477930,Corey Perry,Pat Maroon,Pierre-Edouard Bellemare
