lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,goalsFor_per60,dZoneGiveaways_per60,corsi_influence_on_player1,corsi_influence_on_player2,corsi_influence_on_player1_stdDevs,corsi_influence_on_player2_stdDevs
84741458478407,Dunn-Bortuzzo,pairing,165,66377.0,0.52,0.5517040541151302,0.52,212.9,16.61,13.76,52.83,6.95,119.04,88.82,15.98,16.89,16.25,235.0,63.0,134.0,432.0,44.0,21.0,2.0,44.0,6.0,102.0,110.0,220.0,283.0,27.0,59.0,186.0,229.0,57.0,47.0,235.0,49.0,14.0,6.82,5.81,3.97,9.0,3.0,3.0,440.6,298.0,302.83,92.0,2.83,4.16,4.16,15.28,15.46,15.22,199.67,15.22,13.07,47.78,6.49,109.81,87.65,14.75,15.09,14.62,202.0,78.0,99.0,379.0,14.0,15.0,1.0,48.0,7.0,104.0,92.0,188.0,266.0,20.0,40.0,179.0,213.0,58.0,55.0,213.0,56.0,11.0,5.78,6.72,2.72,9.0,4.0,1.0,376.62,280.0,278.85,36.0,2.69,2.71,2.71,15.2,15.13,14.89,8474145,8478407,Robert Bortuzzo,Vince Dunn,2.386368772315712,4.989680160296488,0.05281755882732292,0.025953154436357706,5.124916452826875,4.55275425590311
84764418477845,Edmundson-Van Riemsdyk,pairing,27,8164.0,0.44,0.49,0.48,68.66,4.56,4.06,16.9,2.31,39.22,28.95,4.32,4.49,4.27,60.0,36.0,29.0,125.0,4.0,5.0,0.0,15.0,0.0,39.0,33.0,56.0,92.0,7.0,17.0,57.0,50.0,17.0,28.0,81.0,12.0,3.0,2.23,1.49,0.85,2.0,2.0,0.0,124.2,96.0,94.8,13.0,0.82,0.68,0.68,4.71,4.65,4.52,76.53,5.83,4.62,17.97,2.44,41.43,32.7,5.62,5.91,5.7,85.0,20.0,27.0,132.0,3.0,8.0,2.0,18.0,2.0,31.0,43.0,82.0,102.0,8.0,19.0,62.0,62.0,23.0,37.0,83.0,17.0,5.0,2.4,2.02,1.42,0.0,1.0,2.0,133.87,105.0,106.4,21.0,0.94,1.63,1.63,5.15,5.23,5.14,8476441,8477845,Joel Edmundson,Trevor van Riemsdyk,1.763841254287114,5.7324840764331215,0.0,0.0,3.5687751554900524,3.270486416167836
84751868478443,Moore-Carlo,pairing,80,17934.0,0.13,0.4871211107393777,0.32,5.29,0.15,0.22,1.42,0.15,2.62,2.44,0.15,0.14,0.14,5.0,2.0,3.0,10.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,7.0,1.0,2.0,5.0,7.0,2.0,0.0,7.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,8.68,7.0,6.31,25.0,0.04,0.0,0.0,0.2,0.18,0.18,10.91,1.04,0.72,2.88,0.37,5.57,4.43,0.97,1.04,0.98,10.0,5.0,6.0,21.0,1.0,1.0,0.0,1.0,1.0,3.0,8.0,9.0,14.0,0.0,0.0,9.0,5.0,0.0,4.0,10.0,4.0,1.0,0.18,0.59,0.27,0.0,1.0,0.0,23.3,15.0,16.11,1.0,0.15,0.27,0.27,0.92,0.96,0.93,8475186,8478443,John Moore,Brandon Carlo,1.2044161927065906,5.018400802944128,0.0015300360869078822,0.0,4.032586942785609,3.19259208550183
84745658478407,Dunn-Pietrangelo,pairing,181,45334.0,0.56,0.574205232275996,0.57,91.27,7.26,5.82,23.04,2.98,50.57,39.32,7.15,7.29,7.17,101.0,28.0,52.0,181.0,41.0,9.0,2.0,22.0,5.0,41.0,42.0,91.0,119.0,12.0,26.0,65.0,39.0,26.0,16.0,100.0,20.0,9.0,2.69,2.25,2.32,7.0,0.0,3.0,177.57,129.0,127.41,63.0,1.19,1.79,1.79,6.67,6.63,6.57,67.6,5.82,4.6,15.53,2.14,37.47,28.59,5.6,5.97,5.75,68.0,28.0,27.0,123.0,6.0,5.0,2.0,19.0,4.0,32.0,30.0,62.0,90.0,11.0,22.0,78.0,64.0,21.0,16.0,71.0,19.0,6.0,1.97,2.29,1.55,0.0,4.0,2.0,129.36,96.0,99.05,10.0,0.95,1.35,1.35,5.28,5.4,5.31,8474565,8478407,Alex Pietrangelo,Vince Dunn,3.2558344730224555,5.002867604888163,0.054881288085259716,0.05021313682760742,5.168870074462875,5.0694470744112134
84764678480036,Heiskanen-Oleksiak,pairing,122,78972.0,0.72,0.5182206351618295,0.56,3.7,0.53,0.34,0.77,0.11,1.91,1.33,0.5,0.53,0.49,5.0,0.0,3.0,8.0,36.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,5.0,2.0,4.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,0.08,0.22,0.23,0.0,0.0,0.0,7.48,5.0,4.79,122.0,0.07,0.23,0.23,0.38,0.37,0.36,2.98,0.2,0.17,0.74,0.12,1.52,1.26,0.2,0.2,0.2,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.03,0.18,0.0,0.0,0.0,0.0,3.71,4.0,3.71,0.0,0.04,0.0,0.0,0.24,0.23,0.23,8476467,8480036,Jamie Oleksiak,Miro Heiskanen,1.6410879805500684,5.561464822975231,0.01215094221706825,0.009037146956869191,4.258792627315781,4.192474539227238
84694658474134,Hamhuis-Weber,pairing,158,66555.0,0.5,0.5067798061753437,0.46,84.18,7.84,5.96,19.2,2.72,44.73,32.54,7.59,7.85,7.6,79.0,34.0,47.0,160.0,48.0,5.0,0.0,23.0,2.0,49.0,25.0,70.0,104.0,17.0,34.0,87.0,69.0,19.0,25.0,74.0,35.0,4.0,2.26,4.24,1.34,7.0,1.0,1.0,160.04,113.0,113.16,95.0,1.24,1.04,1.04,8.05,8.04,7.82,96.27,7.79,6.19,20.79,2.96,51.1,43.17,7.62,7.88,7.7,96.0,36.0,31.0,163.0,8.0,5.0,2.0,22.0,3.0,40.0,54.0,88.0,124.0,12.0,24.0,91.0,81.0,24.0,39.0,100.0,27.0,5.0,2.58,3.53,1.68,3.0,3.0,2.0,162.92,132.0,132.66,24.0,1.28,1.16,1.16,7.91,7.97,7.84,8469465,8474134,Dan Hamhuis,Yannick Weber,2.5963488843813387,5.138607167004733,0.0,0.022580240540443774,3.87869382281668,4.480917419447139
84779508479333,Hajek-Deangelo,pairing,27,6586.0,0.21,0.3581946553294867,0.5,2.24,0.07,0.11,0.52,0.08,1.28,1.93,0.07,0.08,0.08,4.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.04,4.0,4.0,22.0,0.02,0.0,0.0,0.1,0.1,0.1,2.92,0.28,0.23,0.58,0.08,1.57,1.27,0.27,0.29,0.28,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.13,0.15,0.0,0.0,0.0,0.0,4.12,4.0,4.14,0.0,0.05,0.0,0.0,0.32,0.33,0.33,8477950,8479333,Tony DeAngelo,Libor Hajek,2.186456119040389,12.025508654722138,0.0,0.0,1.0298618088965004,3.283132509910927
84774628478500,Provorov-Hagg,pairing,167,32926.0,0.49,0.4716199963554637,0.47,110.05,8.78,7.13,26.61,3.52,61.22,46.75,8.52,8.82,8.56,113.0,41.0,51.0,205.0,27.0,10.0,3.0,25.0,5.0,48.0,54.0,101.0,142.0,9.0,18.0,128.0,123.0,19.0,50.0,120.0,25.0,9.0,3.0,2.97,2.81,4.0,4.0,4.0,204.33,154.0,154.4,66.0,1.46,2.65,2.63,7.61,7.66,7.56,120.19,9.14,7.81,28.76,3.9,68.85,52.54,9.02,9.24,9.12,124.0,47.0,60.0,231.0,10.0,5.0,1.0,39.0,2.0,53.0,62.0,114.0,161.0,17.0,32.0,94.0,81.0,25.0,35.0,137.0,30.0,4.0,4.42,3.61,1.11,3.0,6.0,1.0,233.57,171.0,172.98,14.0,1.6,0.74,0.74,10.0,10.13,10.04,8477462,8478500,Robert Hagg,Ivan Provorov,2.9520743485391483,7.216181740873474,0.00670491443525939,0.0,4.142802293981029,3.5752913003618074
84772448477969,Pettersson-Ruhwedel,pairing,94,24427.0,0.6,0.5485708437384862,0.59,83.64,6.85,5.57,20.32,2.72,45.47,34.08,6.71,6.84,6.7,80.0,35.0,31.0,146.0,14.0,5.0,0.0,17.0,5.0,42.0,42.0,76.0,111.0,5.0,10.0,66.0,85.0,18.0,19.0,86.0,23.0,6.0,2.26,3.01,1.58,2.0,2.0,0.0,144.09,115.0,113.73,28.0,1.16,0.93,0.93,7.08,7.06,7.0,58.54,4.54,3.95,13.17,2.03,33.03,24.27,4.46,4.54,4.46,66.0,15.0,35.0,116.0,7.0,6.0,0.0,9.0,2.0,19.0,38.0,59.0,74.0,6.0,12.0,54.0,90.0,13.0,15.0,67.0,10.0,4.0,2.23,1.15,1.17,4.0,2.0,1.0,117.47,81.0,81.06,8.0,0.81,0.81,0.81,4.54,4.57,4.54,8477244,8477969,Chad Ruhwedel,Marcus Pettersson,2.0632906210341013,4.126581242068203,0.04277141147782848,0.03931889267549327,4.9109520687871635,4.8374197948489
84757478479425,Nemeth-Hronek,pairing,92,35981.0,0.41,0.5121569717350825,0.47,97.73,6.81,6.09,22.24,3.04,54.5,42.32,6.7,6.76,6.65,100.0,35.0,46.0,181.0,15.0,7.0,0.0,19.0,4.0,43.0,58.0,96.0,131.0,17.0,34.0,109.0,99.0,17.0,29.0,107.0,24.0,4.0,2.7,3.07,1.04,1.0,3.0,0.0,178.25,135.0,133.84,47.0,1.25,1.36,1.36,6.7,6.67,6.62,110.78,9.8,7.44,25.89,3.61,59.66,44.6,9.32,9.94,9.45,119.0,32.0,33.0,184.0,9.0,10.0,2.0,23.0,3.0,39.0,67.0,110.0,142.0,20.0,40.0,86.0,90.0,22.0,29.0,115.0,24.0,12.0,3.26,2.93,3.62,3.0,3.0,3.0,188.63,151.0,153.95,17.0,1.55,2.86,2.86,8.49,8.6,8.4,8475747,8479425,Patrik Nemeth,Filip Hronek,1.5007920847113756,4.702481865428977,0.0375600798660472,0.04968525465567103,4.7999603304072185,5.0582041591090015
