lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,goalsFor_per60,dZoneGiveaways_per60,corsi_influence_on_player1,corsi_influence_on_player2,corsi_influence_on_player1_stdDevs,corsi_influence_on_player2_stdDevs,combined_corsi_influence,combined_corsi_influence_negative
84717248480058,Joseph-Letang,pairing,14,8689.0,0.45,0.5,0.54,71.43,4.98,4.46,17.4,2.25,39.73,30.19,4.81,5.1,4.93,70.0,29.0,27.0,126.0,6.0,1.0,1.0,21.0,5.0,30.0,36.0,64.0,93.0,14.0,28.0,74.0,86.0,21.0,21.0,83.0,11.0,5.0,2.21,1.33,1.44,2.0,1.0,3.0,127.43,99.0,100.36,11.0,0.91,0.34,0.34,5.55,5.67,5.59,64.02,5.97,4.52,15.06,2.0,33.79,24.67,5.77,5.99,5.79,61.0,25.0,40.0,126.0,6.0,5.0,0.0,10.0,2.0,33.0,30.0,55.0,80.0,7.0,14.0,74.0,64.0,14.0,19.0,56.0,24.0,6.0,1.46,2.97,1.54,1.0,4.0,1.0,126.88,86.0,87.04,12.0,0.95,1.05,1.05,5.86,5.88,5.78,8471724,8480058,Kris Letang,Pierre-Olivier Joseph,2.485901714811831,4.557486477155024,-0.03153874617884822,-0.04206992337164739,3.3282829561641187,3.1039883322769097,-0.07360866955049561,0.07360866955049561
84716868479425,Staal-Hronek,pairing,105,30261.0,0.45,0.4544307854994878,0.44,187.32,17.25,13.16,44.21,5.98,101.62,74.78,16.74,16.92,16.42,191.0,66.0,85.0,342.0,23.0,21.0,3.0,36.0,5.0,58.0,115.0,169.0,235.0,26.0,55.0,207.0,186.0,39.0,58.0,185.0,55.0,17.0,5.76,6.97,4.52,14.0,5.0,3.0,333.2,257.0,251.2,37.0,2.75,4.08,4.08,15.92,15.63,15.5,234.66,20.78,16.28,52.52,7.4,130.81,95.21,20.24,21.29,20.74,241.0,82.0,91.0,414.0,29.0,17.0,2.0,57.0,9.0,102.0,109.0,212.0,294.0,31.0,69.0,207.0,134.0,30.0,41.0,234.0,70.0,19.0,7.01,8.3,5.47,13.0,9.0,7.0,427.63,323.0,331.18,18.0,3.35,3.49,3.47,20.66,21.12,20.79,8471686,8479425,Marc Staal,Filip Hronek,2.7361951026073164,4.401705165063944,-0.009187309213701644,-0.01708471009228346,3.804327282041014,3.6361272292530686,-0.026272019305985106,0.026272019305985106
84723828480222,Greene-Aho,pairing,21,8463.0,0.39,0.3718456812005199,0.41,43.45,4.08,3.07,9.9,1.31,24.55,17.09,4.07,4.09,4.07,47.0,13.0,11.0,71.0,5.0,1.0,1.0,6.0,3.0,13.0,32.0,42.0,55.0,9.0,18.0,47.0,57.0,19.0,22.0,45.0,10.0,5.0,1.31,1.25,1.52,1.0,2.0,2.0,71.27,60.0,59.87,17.0,0.63,0.46,0.46,4.25,4.3,4.28,63.28,6.33,4.24,15.24,2.0,34.7,24.48,6.14,6.43,6.24,63.0,24.0,34.0,121.0,5.0,9.0,2.0,9.0,3.0,31.0,30.0,58.0,82.0,2.0,4.0,40.0,51.0,12.0,22.0,60.0,21.0,6.0,1.52,2.76,2.05,2.0,2.0,1.0,122.43,87.0,88.18,9.0,0.87,1.98,1.98,5.21,5.31,5.28,8472382,8480222,Andy Greene,Sebastian Aho,2.1269053527118045,7.231478199220135,-0.10357107503751078,-0.09266784799632494,1.7941273899544203,2.026345988463217,-0.19623892303383572,0.19623892303383572
84713038477220,Edler-Schmidt,pairing,45,32614.0,0.52,0.46,0.48,270.62,23.48,17.53,64.71,9.02,149.75,112.51,22.71,23.64,22.85,283.0,94.0,101.0,478.0,23.0,25.0,4.0,66.0,8.0,99.0,156.0,260.0,354.0,33.0,74.0,310.0,187.0,68.0,92.0,285.0,70.0,22.0,7.97,9.03,6.48,9.0,10.0,4.0,479.33,377.0,379.68,68.0,3.6,5.25,5.25,21.83,21.96,21.59,286.08,21.97,19.1,66.81,9.3,165.74,122.08,21.61,22.05,21.69,287.0,118.0,154.0,559.0,23.0,16.0,3.0,76.0,12.0,134.0,144.0,264.0,382.0,21.0,48.0,279.0,214.0,49.0,96.0,322.0,69.0,14.0,9.96,8.39,3.62,11.0,10.0,2.0,558.12,405.0,404.3,61.0,3.93,3.06,3.34,22.56,22.6,22.31,8471303,8477220,Alexander Edler,Nate Schmidt,2.5387870239774326,7.50597902741154,-0.03413926675129564,-0.05001720087178069,3.2728966709436147,2.934725999568416,-0.08415646762307633,0.08415646762307633
84774998480807,Samuelsson-Ristolainen,pairing,12,10364.0,0.4,0.4,0.4,72.47,4.75,4.49,17.76,2.24,40.07,29.69,4.68,4.65,4.58,78.0,21.0,24.0,123.0,2.0,3.0,0.0,17.0,3.0,26.0,48.0,76.0,97.0,9.0,18.0,83.0,82.0,15.0,17.0,82.0,15.0,2.0,2.13,2.02,0.61,2.0,0.0,0.0,118.97,99.0,95.56,7.0,0.91,0.38,0.38,5.29,5.16,5.13,106.51,7.17,7.23,25.46,3.41,62.12,44.61,6.96,7.38,7.15,113.0,37.0,36.0,186.0,12.0,4.0,0.0,28.0,10.0,41.0,55.0,101.0,138.0,15.0,30.0,95.0,63.0,15.0,27.0,122.0,24.0,4.0,3.29,2.87,1.02,7.0,3.0,2.0,192.88,150.0,155.55,6.0,1.48,0.66,0.66,7.99,8.18,7.98,8477499,8480807,Rasmus Ristolainen,Mattias Samuelsson,0.6947124662292551,2.431493631802393,-0.04628024506533934,-0.08330734080523783,3.014316256359651,2.2257075034564284,-0.12958758587057717,0.12958758587057717
84745658479980,Hague-Pietrangelo,pairing,68,36893.0,0.47,0.5068750169408831,0.51,291.35,24.16,18.92,72.45,9.58,162.95,121.95,23.37,24.39,23.6,299.0,111.0,145.0,555.0,29.0,26.0,7.0,75.0,20.0,130.0,131.0,271.0,382.0,33.0,66.0,289.0,223.0,96.0,82.0,309.0,77.0,24.0,8.11,8.89,7.15,7.0,14.0,7.0,559.05,410.0,413.25,40.0,3.9,6.24,6.24,21.81,22.06,21.6,284.48,27.75,19.86,67.4,9.52,155.88,112.57,26.54,27.6,26.39,283.0,110.0,152.0,545.0,29.0,27.0,5.0,59.0,11.0,111.0,156.0,254.0,364.0,31.0,64.0,292.0,317.0,84.0,94.0,275.0,87.0,31.0,8.17,11.38,8.19,9.0,12.0,8.0,543.57,393.0,391.06,38.0,4.14,5.5,5.5,26.39,26.16,25.85,8474565,8479980,Alex Pietrangelo,Nicolas Hague,2.8298051120808823,3.9031794649391487,-0.016356385201859558,-0.047320491335868686,3.6516392042559223,2.992160932056686,-0.06367687653772824,0.06367687653772824
84650098475324,Chara-Jensen,pairing,51,34784.0,0.51,0.49,0.48,239.05,18.26,15.14,57.95,7.62,133.01,102.03,17.73,18.54,18.0,245.0,89.0,123.0,457.0,16.0,14.0,3.0,54.0,4.0,99.0,147.0,229.0,318.0,43.0,101.0,245.0,256.0,64.0,77.0,262.0,58.0,14.0,7.4,7.15,3.72,6.0,5.0,5.0,470.08,334.0,341.75,56.0,3.11,2.81,2.81,18.57,18.87,18.7,260.73,17.45,16.3,63.5,8.27,149.13,113.35,17.27,17.45,17.26,260.0,108.0,106.0,474.0,21.0,9.0,1.0,60.0,9.0,120.0,149.0,239.0,347.0,37.0,92.0,217.0,231.0,71.0,70.0,304.0,53.0,11.0,8.36,6.0,3.09,9.0,10.0,2.0,467.58,368.0,364.82,40.0,3.32,1.43,1.43,19.35,19.33,19.15,8465009,8475324,Zdeno Chara,Nick Jensen,1.655933762649494,5.795768169273229,-0.026090451195276643,-0.018131891284500323,3.444321576709059,3.6138242039264568,-0.044222342479776966,0.044222342479776966
84752188478851,Ekholm-Carrier,pairing,88,61827.0,0.49,0.4973011790965113,0.5,361.96,30.33,25.55,85.39,12.27,214.53,149.92,29.39,30.18,29.26,364.0,154.0,155.0,673.0,45.0,26.0,3.0,102.0,14.0,164.0,177.0,329.0,483.0,65.0,148.0,434.0,417.0,98.0,119.0,395.0,99.0,24.0,12.52,11.57,6.24,17.0,15.0,3.0,673.26,518.0,517.11,68.0,5.29,4.96,4.96,30.67,30.52,30.07,377.13,30.98,25.27,88.71,11.9,212.31,153.83,30.1,31.2,30.3,384.0,139.0,171.0,694.0,19.0,27.0,2.0,115.0,18.0,151.0,193.0,365.0,504.0,57.0,130.0,394.0,359.0,99.0,93.0,411.0,84.0,28.0,12.84,10.82,7.32,6.0,8.0,5.0,695.06,523.0,522.34,51.0,5.24,6.29,6.29,29.93,30.09,29.67,8475218,8478851,Mattias Ekholm,Alexandre Carrier,2.62021446940657,3.959435198214373,-0.02976021389183625,0.024028825322533753,3.3661624090575115,4.511769599874771,-0.005731388569302498,0.005731388569302498
84745658475188,Mcnabb-Pietrangelo,pairing,87,21917.0,0.54,0.5029652780946298,0.53,83.41,7.57,6.1,20.08,2.81,46.17,34.28,7.27,7.56,7.26,84.0,33.0,38.0,155.0,14.0,12.0,1.0,15.0,1.0,47.0,36.0,78.0,111.0,12.0,27.0,55.0,73.0,22.0,21.0,82.0,28.0,7.0,2.21,3.45,1.91,2.0,1.0,3.0,158.16,117.0,117.73,16.0,1.26,1.76,1.76,7.07,7.08,6.93,76.39,6.58,5.14,18.47,2.62,40.22,31.97,6.5,6.74,6.65,80.0,25.0,37.0,142.0,8.0,6.0,0.0,9.0,3.0,33.0,46.0,72.0,97.0,7.0,17.0,65.0,103.0,31.0,12.0,77.0,21.0,7.0,2.17,2.57,1.84,3.0,3.0,2.0,142.59,105.0,106.25,3.0,1.06,0.92,0.92,6.73,6.87,6.83,8474565,8475188,Alex Pietrangelo,Brayden McNabb,2.299584797189397,2.628096911073596,-0.020059084818000006,-0.0409035945885059,3.572778541049401,3.1288289812332692,-0.060962679406505904,0.060962679406505904
84768798477969,Pettersson-Ceci,pairing,39,7173.0,0.44,0.48,0.48,50.26,3.68,3.21,11.59,1.55,28.65,21.34,3.63,3.73,3.68,52.0,18.0,19.0,89.0,4.0,1.0,0.0,10.0,1.0,24.0,30.0,48.0,66.0,3.0,9.0,53.0,66.0,22.0,14.0,56.0,13.0,1.0,1.67,1.78,0.22,1.0,3.0,0.0,90.63,70.0,71.33,7.0,0.66,0.19,0.19,4.15,4.22,4.17,56.1,4.71,3.88,13.23,1.77,30.39,22.02,4.61,4.75,4.64,59.0,17.0,19.0,95.0,4.0,3.0,1.0,13.0,1.0,20.0,35.0,55.0,72.0,6.0,15.0,38.0,82.0,20.0,10.0,55.0,18.0,3.0,1.56,2.29,0.86,1.0,2.0,1.0,95.09,76.0,76.05,8.0,0.81,0.66,0.66,4.86,4.9,4.86,8476879,8477969,Cody Ceci,Marcus Pettersson,2.0075282308657467,3.5131744040150563,0.009695177104245611,-0.03377403985486249,4.206489366032464,3.2806753292900885,-0.02407886275061688,0.02407886275061688
