lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,goalsFor_per60,dZoneGiveaways_per60,corsi_influence_on_player1,corsi_influence_on_player2,corsi_influence_on_player1_stdDevs,corsi_influence_on_player2_stdDevs,combined_corsi_influence
84684988477220,Orpik-Schmidt,pairing,78,34963.0,0.24,0.5679835826445099,0.5,1.54,0.05,0.08,0.36,0.04,0.66,0.81,0.05,0.04,0.04,1.0,1.0,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.82,2.0,1.86,55.0,0.02,0.0,0.0,0.06,0.06,0.06,1.56,0.15,0.07,0.42,0.05,0.72,0.58,0.15,0.16,0.16,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.04,0.11,0.0,0.0,1.0,0.0,2.31,2.0,2.29,0.0,0.01,0.0,0.0,0.16,0.18,0.18,8468498,8477220,Brooks Orpik,Nate Schmidt,2.574149815519263,5.663129594142379,0.09666910483364644,0.06540406038803781,5.058873392140957,4.392985689715856,0.16207316522168425
84745818476853,Gardiner-Rielly,pairing,385,52460.0,0.59,0.5595556614563476,0.64,53.6,4.01,3.34,13.3,1.81,31.16,23.44,3.89,3.96,3.84,59.0,19.0,33.0,111.0,42.0,4.0,0.0,15.0,3.0,28.0,25.0,56.0,75.0,3.0,6.0,27.0,16.0,6.0,15.0,67.0,10.0,1.0,2.58,1.08,0.34,3.0,0.0,0.0,109.76,78.0,77.09,86.0,0.68,0.52,0.52,4.11,4.07,3.98,30.96,2.75,2.07,6.96,0.94,16.87,13.48,2.69,2.73,2.67,35.0,9.0,12.0,56.0,1.0,2.0,1.0,7.0,3.0,13.0,18.0,34.0,43.0,8.0,16.0,33.0,37.0,5.0,21.0,33.0,8.0,3.0,1.14,0.86,0.75,0.0,0.0,1.0,55.5,44.0,43.66,14.0,0.43,0.34,0.34,2.77,2.73,2.7,8474581,8476853,Jake Gardiner,Morgan Rielly,2.882195958825772,5.901639344262295,0.05629061616559938,0.061799220123951504,4.198886159647502,4.316209249968972,0.11808983628955089
84712968474688,Emelin-Pateryn,pairing,52,17194.0,0.39,0.5108596021868094,0.42,15.94,1.28,1.04,4.21,0.58,8.54,6.36,1.22,1.27,1.21,20.0,2.0,9.0,31.0,12.0,2.0,1.0,5.0,1.0,4.0,7.0,17.0,19.0,2.0,7.0,21.0,27.0,3.0,9.0,17.0,5.0,0.0,0.58,0.7,0.0,2.0,1.0,0.0,31.25,22.0,21.71,40.0,0.22,0.34,0.34,1.15,1.15,1.14,21.56,2.03,1.31,5.19,0.74,12.26,9.47,1.88,2.0,1.85,22.0,9.0,11.0,42.0,1.0,2.0,1.0,2.0,2.0,9.0,15.0,21.0,30.0,3.0,9.0,27.0,25.0,2.0,7.0,24.0,5.0,2.0,0.69,0.54,0.81,0.0,0.0,1.0,40.52,31.0,30.2,6.0,0.27,0.18,0.79,1.52,1.47,1.45,8471296,8474688,Alexei Emelin,Greg Pateryn,2.5125043619867395,8.375014539955798,0.025309956559546987,0.018465829709528814,3.539055329066805,3.3932880677666324,0.0437757862690758
84673318475197,Stuart-Barrie,pairing,54,7705.0,0.57,0.4838195976638547,0.53,58.48,5.21,4.25,12.77,1.95,32.29,26.53,5.03,5.17,5.0,60.0,23.0,24.0,107.0,7.0,3.0,1.0,13.0,1.0,28.0,31.0,53.0,76.0,14.0,31.0,41.0,46.0,19.0,9.0,61.0,17.0,5.0,1.86,2.02,1.33,3.0,3.0,1.0,105.87,83.0,81.48,5.0,0.89,0.82,0.82,5.28,5.21,5.04,53.9,3.88,3.62,12.2,1.67,31.19,22.42,3.76,3.94,3.82,51.0,24.0,40.0,115.0,4.0,2.0,0.0,10.0,1.0,31.0,27.0,47.0,71.0,9.0,21.0,53.0,41.0,19.0,16.0,58.0,15.0,2.0,1.51,1.82,0.56,1.0,3.0,0.0,117.16,75.0,76.95,8.0,0.74,0.36,0.36,4.27,4.35,4.24,8467331,8475197,Brad Stuart,Tyson Barrie,3.2706035042180406,2.336145360155743,0.028888406864694127,-0.008009935938556034,3.6152697114286227,2.8294031582786867,0.020878470926138093
84712748476279,Goligoski-Jokipakka,pairing,58,8587.0,0.59,0.5484569698381274,0.55,64.02,6.05,4.19,14.26,2.11,35.21,27.19,5.89,6.34,6.18,63.0,26.0,36.0,125.0,7.0,4.0,1.0,13.0,1.0,29.0,36.0,57.0,83.0,7.0,14.0,50.0,46.0,27.0,22.0,60.0,23.0,6.0,1.79,2.57,1.69,0.0,4.0,2.0,129.36,89.0,92.04,21.0,0.86,1.04,1.04,5.87,6.11,6.06,52.36,4.29,3.35,13.24,1.77,29.12,22.24,4.19,4.17,4.07,50.0,24.0,29.0,103.0,7.0,2.0,1.0,13.0,1.0,23.0,28.0,43.0,67.0,11.0,22.0,62.0,44.0,17.0,17.0,56.0,14.0,4.0,1.55,1.64,1.09,3.0,2.0,2.0,99.51,74.0,71.51,8.0,0.69,0.6,0.6,4.38,4.28,4.25,8471274,8476279,Alex Goligoski,Jyrki Jokipakka,2.934668685221847,8.80400605566554,0.04809687381953376,0.06725131375584509,4.02437458092332,4.432328774707344,0.11534818757537885
84740668476429,Hickey-Mayfield,pairing,83,41077.0,0.49,0.5151909827884217,0.46,81.57,6.6,5.6,17.97,2.76,46.76,37.31,6.44,6.66,6.51,84.0,33.0,52.0,169.0,32.0,4.0,0.0,15.0,2.0,43.0,47.0,78.0,111.0,18.0,39.0,99.0,89.0,20.0,41.0,90.0,21.0,6.0,2.8,2.38,1.42,3.0,1.0,2.0,168.21,117.0,116.92,76.0,1.15,0.76,0.76,7.0,7.04,6.93,97.41,6.77,6.14,23.33,3.16,55.59,43.02,6.59,6.85,6.67,104.0,34.0,46.0,184.0,4.0,3.0,2.0,26.0,0.0,48.0,57.0,100.0,134.0,13.0,29.0,103.0,70.0,25.0,34.0,114.0,22.0,2.0,3.26,2.72,0.78,0.0,3.0,1.0,184.07,138.0,138.61,15.0,1.25,0.91,0.91,7.1,7.13,6.99,8474066,8476429,Thomas Hickey,Scott Mayfield,2.804489130170168,6.6606616841541495,0.017211188759979956,0.034775530300654,3.3665665327719534,3.7406545675251537,0.05198671906063396
84752068476403,Dahlbeck-Elliott,pairing,13,6751.0,0.44,0.51,0.48,55.82,3.69,3.49,13.79,1.75,31.23,24.05,3.6,3.68,3.59,51.0,27.0,35.0,113.0,3.0,4.0,1.0,8.0,1.0,27.0,35.0,48.0,75.0,10.0,26.0,42.0,41.0,8.0,5.0,64.0,12.0,2.0,1.62,1.55,0.52,1.0,1.0,1.0,112.55,78.0,77.84,4.0,0.72,0.75,0.75,3.66,3.62,3.59,60.4,4.71,4.14,13.5,1.98,35.27,26.41,4.62,4.84,4.75,52.0,34.0,21.0,107.0,5.0,3.0,0.0,10.0,2.0,26.0,40.0,47.0,81.0,9.0,24.0,44.0,52.0,9.0,3.0,65.0,18.0,3.0,1.77,2.12,0.82,1.0,3.0,1.0,107.53,86.0,86.39,2.0,0.85,0.47,0.47,5.08,5.19,5.14,8475206,8476403,Stefan Elliott,Klas Dahlbeck,1.5997629980743595,2.133017330765812,0.01968203898807641,0.05066704502459335,3.41919107914949,4.0791144806715405,0.07034908401266976
84706308471735,Yandle-Klein,pairing,73,27948.0,0.59,0.5070352082438815,0.53,26.21,1.97,1.65,6.08,0.84,15.4,11.06,1.91,2.03,1.98,28.0,9.0,8.0,45.0,19.0,1.0,0.0,7.0,0.0,12.0,17.0,28.0,37.0,2.0,4.0,17.0,22.0,8.0,2.0,31.0,4.0,2.0,0.79,0.47,0.7,0.0,0.0,0.0,46.55,37.0,38.34,44.0,0.34,0.34,0.7,1.6,1.64,1.63,24.25,1.35,1.38,6.36,0.78,13.26,9.88,1.34,1.29,1.29,21.0,12.0,15.0,48.0,1.0,0.0,0.0,7.0,0.0,7.0,18.0,20.0,32.0,2.0,4.0,25.0,18.0,9.0,8.0,30.0,2.0,1.0,0.73,0.23,0.39,0.0,1.0,0.0,46.23,33.0,31.6,5.0,0.28,0.0,0.39,1.24,1.19,1.19,8470630,8471735,Kevin Klein,Keith Yandle,2.44740231859167,5.6676685272649205,0.03391272456887329,0.009590770790535164,3.722278398977747,3.2042657043813105,0.04350349535940845
84735658475177,Strait-De Haan,pairing,76,13771.0,0.48,0.5036627695882652,0.5,72.04,6.2,5.05,17.34,2.33,39.3,28.78,5.98,6.18,5.97,73.0,26.0,40.0,139.0,10.0,2.0,1.0,29.0,1.0,35.0,27.0,68.0,94.0,5.0,13.0,70.0,100.0,25.0,33.0,74.0,18.0,7.0,2.21,2.01,1.98,1.0,1.0,3.0,137.84,99.0,98.75,19.0,1.04,0.6,0.96,6.28,6.17,5.97,72.43,6.84,5.16,16.33,2.27,38.57,28.85,6.44,6.8,6.42,69.0,29.0,44.0,142.0,7.0,6.0,2.0,20.0,1.0,32.0,32.0,62.0,91.0,7.0,14.0,73.0,72.0,24.0,20.0,74.0,15.0,9.0,2.29,1.86,2.68,2.0,3.0,2.0,142.82,98.0,98.14,11.0,1.06,1.83,2.12,5.78,5.88,5.79,8473565,8475177,Brian Strait,Calvin de Haan,2.614189238254302,4.966959552683175,0.04186873453248818,-0.002260928672141893,3.8917267170301733,2.9518463950544276,0.03960780586034629
84764418476892,Edmundson-Parayko,pairing,221,101033.0,0.56,0.513444716082864,0.56,273.45,21.58,18.18,64.13,8.98,152.98,117.15,20.82,21.59,20.84,252.0,131.0,107.0,490.0,59.0,27.0,9.0,62.0,8.0,127.0,142.0,235.0,366.0,24.0,51.0,230.0,205.0,68.0,54.0,302.0,66.0,15.0,9.15,7.77,4.66,5.0,5.0,7.0,489.45,383.0,382.08,128.0,3.73,5.53,5.53,19.78,19.77,19.37,215.37,16.84,14.52,52.97,7.2,120.48,90.99,16.32,17.04,16.52,216.0,87.0,116.0,419.0,24.0,17.0,2.0,48.0,6.0,103.0,105.0,192.0,279.0,24.0,51.0,235.0,187.0,55.0,49.0,234.0,55.0,14.0,6.54,6.48,3.82,12.0,9.0,3.0,421.72,303.0,305.07,39.0,3.0,3.32,3.32,16.52,16.66,16.4,8476441,8476892,Joel Edmundson,Colton Parayko,2.10228341235042,4.560886047133115,0.004850972959436262,0.017234105936073996,3.1033167646412543,3.3670546262963965,0.022085078895510257
