lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47404E+20,2021,Van Riemsdyk-Laughton-Atkinson,PHI,line,5on5,5,787,44,0.4,0.38,0.31,3.45,0.3,0.25,0.8,0.12,2.05,1.48,0.3,0.32,0.32,4,1,5,10,1,0,0,0,0,2,2,3,4,0,0,5,6,2,3,4,1,0,0.15,0.15,0,1,0,0,10.3,5,5.34,2,0.05,0,0,0.35,0.37,0.37,6.98,0.45,0.51,1.57,0.22,5.03,3.22,0.44,0.44,0.43,6,5,5,16,0,0,0,3,1,4,3,6,11,0,0,7,9,2,2,9,2,0,0.27,0.18,0,0,0,0,15.81,11,11.09,0,0.1,0,0,0.55,0.55,0.53
8.47742E+13,2021,Bahl-Geertsen,NJD,pairing,5on5,3,762,14,0.4,0.36,0.29,3.65,0.4,0.21,0.94,0.13,1.99,1.33,0.4,0.4,0.4,4,1,3,8,0,0,0,2,1,1,1,4,5,1,2,7,9,1,0,3,2,0,0.12,0.28,0,0,0,0,7.64,5,4.83,0,0.04,0,0,0.45,0.44,0.44,8.74,0.62,0.46,2.11,0.27,4.85,3.69,0.6,0.64,0.63,7,5,2,14,2,0,0,0,1,4,5,5,10,0,0,6,2,1,1,9,3,0,0.31,0.31,0,0,2,0,14.65,12,12.42,1,0.1,0,0,0.71,0.74,0.73
8.47583E+13,2021,Lindell-Hakanpaa,DAL,pairing,5on5,72,16662,352,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100,39,47,186,9,8,2,27,5,28,62,91,130,17,37,157,167,30,35,96,31,12,2.27,3.54,3.26,2,4,3,186.4,139,139.05,22,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136,47,87,270,8,10,1,35,4,60,66,128,175,18,39,106,124,22,53,137,37,9,3.91,4.19,2.74,3,4,1,269.79,183,181.5,30,1.8,2.24,2.24,10.4,10.36,10.18
8.47746E+20,2021,Lehkonen-Compher-Newhook,COL,line,5on5,5,1113,58,0.39,0.44,0.39,8.13,0.8,0.5,2.15,0.25,4.19,3.1,0.77,0.86,0.83,9,2,5,16,2,1,1,0,0,2,6,7,9,0,0,7,7,4,1,9,1,1,0.27,0.12,0.4,1,0,1,16.84,11,11.5,0,0.1,0.4,0.4,0.5,0.53,0.53,12.87,1.23,0.98,3.44,0.4,6.46,4.49,1.17,1.19,1.13,15,2,3,20,2,3,1,2,0,4,6,13,15,1,2,10,13,3,1,10,6,1,0.25,0.71,0.26,0,1,1,19.48,17,16.35,1,0.2,0.48,0.48,0.95,0.9,0.89
8.47524E+20,2021,Deslauriers-Steel-Carrick,ANA,line,5on5,7,1002,77,0.4,0.46,0.4,6.14,0.46,0.32,1.29,0.18,3.26,2.48,0.46,0.48,0.48,8,0,4,12,1,0,0,0,0,3,4,7,7,4,14,6,9,1,2,6,2,0,0.21,0.25,0,0,1,0,12.3,8,8,2,0.07,0,0,0.53,0.54,0.54,8.6,0.68,0.51,1.89,0.27,4.56,4.09,0.68,0.69,0.69,10,2,2,14,2,1,0,3,0,3,3,8,10,3,12,8,6,1,0,9,3,0,0.27,0.41,0,0,2,0,13.86,12,11.94,0,0.1,0.12,0.12,0.66,0.68,0.68
8.47797E+13,2021,Pettersson-Marino,PIT,pairing,5on5,66,43147,201,0.53,0.55,0.55,366.38,26.92,23.54,87.11,11.69,203.97,152.77,25.99,27.52,26.57,374,132,158,664,25,27,5,92,12,156,194,349,481,44,104,303,318,81,87,402,84,20,11.7,9.83,5.39,10,12,3,684.28,506,518.43,44,4.83,4.79,4.79,26.96,27.48,27.01,302.67,24.23,19.66,73.74,10.56,165.91,124.89,23.43,24.11,23.32,298,121,133,552,20,21,3,77,9,123,169,278,399,38,88,289,400,74,83,317,84,18,8.88,10.16,5.19,8,6,6,538.82,419,413.21,46,4.04,4.16,4.46,23.82,23.68,23.38
8.4794E+13,2021,Bean-Boqvist,CBJ,pairing,5on5,26,3844,176,0.29,0.4,0.38,28.25,1.72,1.61,6.8,0.88,15.44,12.56,1.7,1.69,1.68,27,12,8,47,5,0,0,9,4,5,16,22,34,4,8,29,21,7,15,34,5,0,1.12,0.6,0,3,2,0,44.99,39,37.99,9,0.33,0,0,2.05,2.02,2,45.81,4.24,3.1,10,1.34,24.74,18.63,4.12,4.47,4.34,50,13,9,72,2,5,0,15,1,18,22,48,61,1,2,29,17,5,8,44,14,5,1.3,1.64,1.29,1,1,0,78.09,63,67.02,4,0.64,1.06,1.06,3.75,3.94,3.89
8.47168E+13,2021,Johnson-Macdonald,COL,pairing,5on5,5,1396,30,0.62,0.65,0.58,12.61,1.01,0.88,2.78,0.4,7.4,5.53,1,1.05,1.03,12,6,10,28,1,1,0,3,0,8,5,11,17,3,9,13,8,1,2,14,3,1,0.27,0.4,0.34,1,0,0,29.39,18,18.4,0,0.18,0.34,0.34,0.85,0.88,0.87,9.53,0.61,0.53,2.34,0.3,5.27,3.94,0.61,0.59,0.59,11,2,2,15,1,0,0,5,0,7,0,10,12,2,7,6,10,6,3,10,2,1,0.18,0.22,0.21,0,1,0,14.19,13,12.53,2,0.11,0,0,0.72,0.69,0.69
8.47907E+20,2021,Lomberg-Luostarinen-Heponiemi,FLA,line,5on5,2,1041,7,0.76,0.68,0.74,12.09,0.75,0.76,2.77,0.41,7.16,5.14,0.72,0.8,0.76,10,7,4,21,0,2,0,2,1,8,4,10,17,2,4,5,8,4,2,14,3,0,0.43,0.32,0,0,0,0,22.96,17,18.09,0,0.15,0.18,0.18,0.72,0.77,0.73,4.3,0.23,0.27,1.01,0.14,2.63,1.73,0.23,0.22,0.22,5,1,4,10,0,0,0,3,0,3,0,5,6,1,2,11,7,0,4,5,1,0,0.08,0.15,0,0,0,0,9.28,6,5.61,1,0.06,0,0,0.29,0.27,0.27
8.4741E+20,2021,Foegele-Ryan-Sceviour,EDM,line,5on5,10,1686,92,0.42,0.46,0.45,13.43,1.03,0.88,2.97,0.45,6.81,5.87,0.97,1.01,0.95,13,5,8,26,0,1,0,2,0,5,10,13,18,2,7,10,17,5,1,15,1,2,0.42,0.11,0.51,0,0,0,25.59,18,17.81,1,0.18,0.26,0.26,0.95,0.94,0.93,16.49,1.44,0.96,3.86,0.52,8.56,6.65,1.42,1.51,1.49,21,1,8,30,3,0,0,8,0,6,5,18,19,3,9,14,14,6,6,16,4,2,0.42,0.46,0.56,2,0,1,31.32,22,22.93,5,0.2,0,0,1.64,1.72,1.7
