lineId,playerNames,position,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,corsi_influence_on_player1,corsi_influence_on_player2
84741628475718,Muzzin-Holl,pairing,137,103782.0,101.0,0.53,0.5159515137499759,0.51,236.3,21.39,16.52,55.47,7.78,133.11,95.74,20.73,21.88,21.22,231.0,99.0,116.0,446.0,18.0,16.0,2.0,59.0,8.0,106.0,123.0,213.0,312.0,31.0,62.0,218.0,178.0,64.0,84.0,235.0,79.0,16.0,7.29,9.54,4.55,4.0,10.0,4.0,458.01,330.0,337.37,54.0,3.41,3.36,3.36,21.44,21.94,21.52,231.77,18.93,15.28,53.33,7.44,130.02,97.0,18.3,18.63,18.02,238.0,84.0,118.0,440.0,24.0,13.0,4.0,55.0,6.0,99.0,125.0,214.0,298.0,20.0,40.0,192.0,240.0,74.0,98.0,245.0,63.0,14.0,7.53,7.21,4.19,11.0,8.0,5.0,430.35,322.0,315.96,72.0,3.15,3.45,3.45,18.64,18.38,18.16,8474162,8475718,Jake Muzzin,Justin Holl,0.004240403615107802,-0.0207775657304915
84686748477447,Theodore-Engelland,pairing,22,1555.0,178.0,0.67,0.55,0.57,18.26,2.4,1.24,4.42,0.62,9.28,7.03,2.2,2.4,2.19,14.0,11.0,9.0,34.0,1.0,2.0,0.0,3.0,1.0,6.0,12.0,13.0,24.0,5.0,10.0,8.0,10.0,5.0,2.0,18.0,3.0,4.0,0.53,0.42,1.45,0.0,1.0,0.0,33.47,25.0,24.45,0.0,0.26,0.65,1.08,1.58,1.57,1.51,13.04,1.16,0.92,2.75,0.43,8.07,5.67,1.14,1.17,1.15,13.0,6.0,9.0,28.0,1.0,0.0,0.0,0.0,2.0,9.0,7.0,12.0,18.0,1.0,2.0,17.0,22.0,5.0,6.0,14.0,4.0,1.0,0.43,0.49,0.23,0.0,1.0,0.0,30.0,19.0,20.13,3.0,0.19,0.0,0.0,1.35,1.36,1.35,8468674,8477447,Deryk Engelland,Shea Theodore,-0.0021569090301747362,0.04158165081625387
84702818478502,Keith-Gilbert,pairing,13,1584.0,87.0,0.49,0.6,0.56,14.03,1.47,1.09,3.04,0.47,7.31,5.61,1.44,1.48,1.45,17.0,2.0,9.0,28.0,1.0,2.0,0.0,5.0,0.0,3.0,8.0,16.0,18.0,3.0,9.0,9.0,9.0,6.0,2.0,11.0,7.0,1.0,0.34,0.92,0.21,1.0,0.0,0.0,27.48,19.0,18.95,2.0,0.22,0.31,0.31,1.38,1.4,1.37,11.99,1.52,0.95,2.59,0.33,5.53,4.09,1.51,1.53,1.52,13.0,2.0,4.0,19.0,1.0,1.0,0.0,3.0,0.0,4.0,6.0,12.0,14.0,4.0,11.0,6.0,13.0,4.0,7.0,6.0,8.0,1.0,0.21,1.02,0.29,0.0,1.0,0.0,19.52,15.0,15.48,3.0,0.2,0.15,0.15,1.57,1.56,1.56,8470281,8478502,Duncan Keith,Dennis Gilbert,0.1959794955437758,0.1128429221046412
84717028477948,Sanheim-Niskanen,pairing,46,5855.0,334.0,0.68,0.55,0.58,62.46,7.57,4.49,14.97,2.22,31.88,23.86,7.06,7.58,7.07,61.0,24.0,21.0,106.0,7.0,13.0,1.0,6.0,1.0,33.0,25.0,54.0,78.0,1.0,2.0,45.0,33.0,21.0,20.0,50.0,24.0,11.0,1.43,3.05,3.09,2.0,4.0,1.0,105.45,85.0,84.52,12.0,0.94,2.95,3.45,5.06,5.09,5.01,45.2,3.61,2.9,11.51,1.62,23.91,18.45,3.42,3.65,3.45,51.0,11.0,25.0,87.0,4.0,6.0,1.0,16.0,0.0,17.0,19.0,47.0,58.0,12.0,24.0,35.0,40.0,11.0,23.0,51.0,7.0,4.0,1.67,0.8,1.14,2.0,1.0,1.0,88.05,62.0,63.05,19.0,0.6,1.08,1.42,2.79,2.83,2.81,8471702,8477948,Matt Niskanen,Travis Sanheim,0.04648165668033222,0.03284660886475976
84740278479026,Braun-Myers,pairing,47,2504.0,171.0,0.6,0.604117412140575,0.65,15.86,1.15,1.02,4.01,0.52,8.37,6.91,1.05,1.13,1.03,12.0,10.0,11.0,33.0,0.0,4.0,0.0,3.0,0.0,4.0,11.0,12.0,22.0,3.0,6.0,4.0,10.0,3.0,4.0,18.0,3.0,1.0,0.38,0.48,0.29,0.0,0.0,0.0,32.16,22.0,21.56,1.0,0.21,0.77,0.77,0.59,0.58,0.57,8.92,0.77,0.65,1.69,0.24,4.76,3.9,0.76,0.75,0.74,11.0,1.0,3.0,15.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,10.0,11.0,1.0,2.0,2.0,12.0,2.0,2.0,6.0,6.0,0.0,0.08,0.69,0.0,0.0,1.0,0.0,15.26,12.0,12.02,2.0,0.14,0.23,0.13,0.78,0.76,0.76,8474027,8479026,Justin Braun,Philippe Myers,0.09010585943578919,0.11563061024475296
84745678477986,Montour-Bogosian,pairing,15,2992.0,111.0,0.32,0.31,0.31,17.34,1.72,1.16,3.83,0.51,8.79,6.98,1.64,1.66,1.59,21.0,2.0,7.0,30.0,1.0,1.0,0.0,8.0,0.0,3.0,10.0,20.0,22.0,5.0,10.0,16.0,12.0,4.0,10.0,16.0,5.0,2.0,0.41,0.69,0.63,1.0,0.0,0.0,30.36,23.0,23.1,5.0,0.24,0.35,0.35,1.61,1.58,1.57,36.56,3.71,2.6,8.42,1.15,20.1,15.02,3.65,3.67,3.62,44.0,7.0,15.0,66.0,3.0,3.0,0.0,14.0,0.0,14.0,17.0,41.0,48.0,1.0,2.0,17.0,19.0,7.0,7.0,35.0,10.0,6.0,0.99,1.28,1.44,1.0,1.0,1.0,65.07,51.0,50.51,4.0,0.53,0.8,0.8,3.45,3.43,3.38,8474567,8477986,Zach Bogosian,Brandon Montour,-0.2088739869309953,-0.18866946088099928
84706428479985,Weber-Fleury,pairing,21,1087.0,181.0,0.66,0.5,0.52,12.08,1.37,0.8,2.37,0.33,5.63,5.51,1.22,1.31,1.17,13.0,3.0,5.0,21.0,2.0,1.0,0.0,1.0,1.0,6.0,5.0,11.0,14.0,2.0,4.0,3.0,8.0,0.0,3.0,11.0,2.0,3.0,0.34,0.21,0.82,0.0,1.0,1.0,21.12,16.0,16.16,2.0,0.17,0.28,0.6,0.94,0.94,0.92,11.0,0.7,0.67,2.23,0.33,6.1,4.97,0.69,0.7,0.69,9.0,6.0,6.0,21.0,0.0,0.0,0.0,2.0,1.0,5.0,7.0,9.0,15.0,0.0,0.0,7.0,10.0,4.0,9.0,11.0,4.0,0.0,0.27,0.42,0.0,0.0,0.0,0.0,20.73,15.0,14.8,7.0,0.14,0.0,0.0,0.83,0.84,0.83,8470642,8479985,Shea Weber,Cale Fleury,-0.00046217734225628693,-0.036257864064337286
84774358479398,Girard-Graves,pairing,97,17326.0,303.0,0.59,0.5411704952095118,0.56,80.59,6.44,5.5,19.7,2.62,45.88,33.86,6.28,6.57,6.4,81.0,33.0,37.0,151.0,3.0,7.0,1.0,21.0,3.0,24.0,56.0,78.0,111.0,10.0,26.0,67.0,49.0,13.0,14.0,90.0,18.0,6.0,2.63,2.16,1.65,2.0,0.0,1.0,155.45,114.0,116.76,6.0,1.12,1.39,1.44,6.12,6.22,6.17,61.98,4.45,3.98,15.69,2.03,36.61,26.23,4.36,4.4,4.32,68.0,21.0,30.0,119.0,9.0,4.0,0.0,18.0,4.0,24.0,30.0,59.0,80.0,13.0,34.0,66.0,61.0,11.0,13.0,71.0,15.0,3.0,1.87,1.8,0.78,4.0,5.0,0.0,115.53,89.0,87.45,5.0,0.81,0.57,0.57,4.69,4.67,4.61,8477435,8479398,Ryan Graves,Samuel Girard,-0.0002064313604590584,0.01737146187884453
84752188479371,Ekholm-Fabbro,pairing,143,59880.0,363.0,0.48,0.5178553774215097,0.49,42.44,4.67,3.08,9.88,1.48,22.82,17.07,4.5,4.76,4.59,45.0,14.0,10.0,69.0,5.0,6.0,1.0,14.0,0.0,12.0,22.0,40.0,54.0,4.0,8.0,29.0,41.0,8.0,9.0,40.0,14.0,5.0,1.29,1.88,1.5,1.0,3.0,1.0,69.72,59.0,59.57,5.0,0.65,1.43,1.43,3.88,3.92,3.85,45.95,5.08,3.23,9.81,1.5,24.07,18.3,4.98,5.04,4.94,43.0,19.0,17.0,79.0,3.0,4.0,1.0,15.0,0.0,12.0,28.0,40.0,59.0,3.0,6.0,26.0,42.0,7.0,11.0,40.0,15.0,7.0,1.14,1.92,2.02,1.0,0.0,2.0,77.95,62.0,61.53,7.0,0.68,0.96,0.96,4.79,4.82,4.81,8475218,8479371,Mattias Ekholm,Dante Fabbro,0.024693939170631674,0.02706535126395282
84716868476869,Skjei-Staal,pairing,21,993.0,208.0,0.27,0.3,0.33,6.14,0.4,0.38,1.31,0.21,3.69,3.0,0.39,0.4,0.39,6.0,3.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,6.0,9.0,0.0,0.0,2.0,7.0,2.0,4.0,6.0,3.0,0.0,0.15,0.24,0.0,0.0,0.0,0.0,10.19,9.0,9.17,3.0,0.08,0.0,0.0,0.47,0.47,0.47,12.15,1.09,0.84,2.68,0.48,7.19,5.71,1.06,1.08,1.05,10.0,8.0,5.0,23.0,1.0,1.0,0.0,1.0,1.0,6.0,8.0,9.0,17.0,1.0,2.0,1.0,3.0,2.0,1.0,13.0,4.0,1.0,0.39,0.42,0.29,0.0,1.0,0.0,22.6,18.0,17.81,0.0,0.17,0.29,0.29,0.97,0.99,0.97,8471686,8476869,Marc Staal,Brady Skjei,-0.21921838588481474,-0.14588915193733115
