lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47167E+20,2014,Jaskin-Stastny-Rattie,STL,line,5on5,1,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.47347E+20,2014,Raffl-White-Rinaldo,PHI,line,5on5,5,1926,20,0.33,0.46,0.34,7.76,0.59,0.48,1.82,0.25,4.56,3.3,0.59,0.59,0.59,9,2,12,23,1,0,0,4,0,2,4,8,10,4,8,14,36,3,2,7,4,0,0.16,0.43,0,0,1,0,23.67,11,11.19,2,0.1,0,0,0.69,0.69,0.69,14.95,1.21,0.87,3.48,0.5,8.3,6.65,1.18,1.21,1.19,14,7,6,27,2,2,0,3,0,3,11,12,19,2,4,21,19,3,3,16,4,1,0.53,0.45,0.23,0,1,1,26.41,21,20.79,3,0.18,0.21,0.17,1.21,1.22,1.21
8.4685E+13,2014,Volchenkov-Ellis,NSH,pairing,5on5,13,2396,86,0.42,0.5,0.52,22.89,1.5,1.58,5.85,0.78,13.86,9.43,1.46,1.53,1.48,17,16,9,42,2,2,0,6,0,10,13,15,31,2,4,18,14,4,7,25,7,1,0.57,0.72,0.21,1,1,0,41.95,33,32.91,4,0.32,0.28,0.36,1.46,1.47,1.47,22.78,2.12,1.72,4.76,0.69,12.59,9.13,2.09,2.15,2.12,21,10,11,42,3,1,0,7,2,12,6,18,28,3,6,18,25,4,10,21,8,2,0.59,0.99,0.54,1,1,1,43,31,31.67,5,0.35,0.32,0.32,2.15,2.23,2.19
8.4685E+20,2014,Boyes-Bolland-Kopecky,FLA,line,5on5,4,87,53,0.58,0.14,0.2,0.91,0.27,0.09,0.13,0.02,0.29,0.2,0.27,0.28,0.28,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.27,0,0,0,1.03,1,1.03,0,0.02,0,0,0.29,0.3,0.3,2.84,0.19,0.17,0.65,0.1,1.47,1.42,0.19,0.21,0.21,4,0,2,6,0,0,0,1,0,2,1,4,4,0,0,1,0,0,1,3,1,0,0.05,0.14,0,0,0,0,6.68,4,4.32,0,0.04,0,0,0.23,0.24,0.24
8.47004E+20,2014,Kreider-Hayes-Nash,NYR,line,5on5,5,1489,31,0.69,0.44,0.46,12.48,1.43,0.9,2.99,0.48,6.03,4.17,1.39,1.44,1.41,12,4,4,20,2,2,1,4,1,3,4,10,14,4,8,8,10,5,3,10,4,2,0.37,0.58,0.48,0,1,1,20.11,16,16.08,2,0.19,0.48,0.48,1.14,1.15,1.14,13.07,0.64,0.75,3.01,0.41,8.05,6.14,0.61,0.64,0.61,18,1,6,25,0,0,0,4,0,10,5,18,19,1,2,30,8,4,6,17,2,0,0.4,0.24,0,0,0,0,24.14,19,18.68,3,0.15,0,0,0.79,0.79,0.76
8.47128E+20,2014,Prust-Eller-Thomas,MTL,line,5on5,3,147,25,1,1,1,2.38,0.22,0.17,0.56,0.07,1.17,0.81,0.21,0.21,0.2,2,1,1,4,0,0,0,1,0,1,1,2,3,1,2,1,2,1,0,2,1,0,0.04,0.17,0,0,0,0,3.88,3,2.91,0,0.04,0,0,0.25,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.46204E+20,2014,Doan-Hanzal-Erat,ARI,line,5on5,3,137,30,0.49,0.67,0.5,0.74,0.08,0.04,0.17,0.02,0.37,0.32,0.08,0.08,0.08,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0.08,0,0,0,0,1.85,1,0.95,0,0.01,0,0,0.09,0.09,0.09,0.78,0.08,0.06,0.12,0.02,0.44,0.28,0.08,0.09,0.09,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0.08,0,0,0,0,1.15,1,1.15,0,0.01,0,0,0.1,0.11,0.11
8.47418E+20,2014,Miller-Stepan-Hagelin,NYR,line,5on5,10,286,124,0.33,0.46,0.56,3.44,0.17,0.21,0.7,0.11,2.25,1.56,0.17,0.18,0.18,3,2,1,6,0,0,0,0,0,3,2,3,5,1,5,0,5,0,0,4,1,0,0.08,0.09,0,0,0,0,6.17,5,5.17,0,0.04,0,0,0.21,0.22,0.22,2.88,0.35,0.21,0.58,0.1,1.54,1.22,0.35,0.37,0.37,3,1,3,7,1,0,0,0,0,2,1,2,3,1,5,2,4,0,0,2,2,0,0.04,0.32,0,0,1,0,6.63,4,3.99,0,0.05,0,0,0.4,0.41,0.41
8.46858E+20,2014,Hagelin-Moore-Zuccarello,NYR,line,5on5,10,395,116,0.4,0.2,0.24,3.16,0.31,0.24,0.56,0.08,1.57,1.23,0.31,0.32,0.32,4,0,0,4,1,0,0,1,0,2,0,3,3,1,2,0,1,1,0,3,1,0,0.15,0.16,0,0,1,0,4.1,4,4.09,0,0.05,0,0,0.36,0.37,0.37,8.72,0.46,0.53,2.23,0.33,5.49,3.95,0.46,0.47,0.46,9,4,3,16,0,0,0,0,1,6,6,9,13,1,0,4,0,0,2,11,2,0,0.25,0.21,0,0,0,0,16.02,13,13.03,0,0.11,0,0,0.57,0.57,0.57
8.46595E+20,2014,Cooke-Carter-Parise,MIN,line,5on5,1,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.24,0.06,0.09,0.38,0.04,0.85,0.58,0.06,0.05,0.05,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0.06,0,0,1,0,0,1.73,2,1.76,0,0.02,0,0,0.08,0.07,0.07
