lineId,playerNames,position,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,player1Name,player2Name
847079484739948480027,Robertson-Benn-Pavelski,line,39,3292.0,257.0,0.47,0.5062910085054678,0.55,26.17,2.29,1.72,6.16,0.86,14.26,10.71,2.15,2.25,2.12,24.0,12.0,12.0,48.0,2.0,2.0,1.0,6.0,2.0,15.0,9.0,22.0,34.0,2.0,4.0,19.0,23.0,8.0,5.0,28.0,6.0,2.0,0.81,0.8,0.68,1.0,0.0,1.0,46.52,36.0,35.18,4.0,0.36,0.68,0.68,1.96,1.93,1.89,21.19,2.59,1.62,5.05,0.79,11.12,7.84,2.29,2.69,2.38,21.0,8.0,14.0,43.0,1.0,2.0,0.0,5.0,1.0,8.0,12.0,20.0,28.0,1.0,2.0,16.0,10.0,5.0,7.0,21.0,3.0,5.0,0.78,0.27,1.55,1.0,0.0,0.0,45.25,29.0,29.84,5.0,0.34,0.68,0.68,2.25,2.34,2.26,8470794,8473994,8480027,Joe Pavelski,Jamie Benn
847126284774068480459,Janmark-Soderberg-Suter,line,6,957.0,64.0,0.57,0.4,0.38,4.91,0.78,0.38,1.06,0.12,2.1,1.55,0.78,0.8,0.8,5.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,6.0,2.0,4.0,12.0,2.0,2.0,0.0,2.0,3.0,1.0,0.05,0.45,0.29,0.0,0.0,0.0,10.02,6.0,5.99,0.0,0.08,0.0,0.0,0.86,0.88,0.88,7.74,0.6,0.55,1.65,0.2,4.08,2.93,0.57,0.58,0.56,7.0,3.0,5.0,15.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,6.0,9.0,2.0,4.0,7.0,12.0,1.0,3.0,6.0,4.0,0.0,0.13,0.47,0.0,0.0,1.0,0.0,14.92,10.0,9.82,2.0,0.12,0.0,0.0,0.71,0.7,0.66,8471262,8477406,8480459,Carl Soderberg,Mattias Janmark
847059584757848481528,Skinner-Staal-Cozens,line,9,1047.0,71.0,0.26,0.37,0.36,5.85,0.33,0.42,1.21,0.17,3.3,2.57,0.32,0.32,0.32,5.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,5.0,8.0,1.0,2.0,7.0,7.0,1.0,3.0,6.0,2.0,0.0,0.12,0.2,0.0,0.0,0.0,0.0,10.41,8.0,7.72,1.0,0.08,0.0,0.0,0.41,0.41,0.4,10.35,0.93,0.76,2.17,0.3,5.74,4.1,0.92,1.01,0.99,8.0,6.0,5.0,19.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,7.0,13.0,1.0,2.0,7.0,3.0,3.0,0.0,10.0,3.0,1.0,0.33,0.39,0.21,0.0,1.0,0.0,20.64,14.0,15.07,0.0,0.16,0.0,0.0,1.09,1.18,1.16,8470595,8475784,8481528,Eric Staal,Jeff Skinner
847692784779538479944,Aston-Reese-Blueger-Kapanen,line,27,3639.0,107.0,0.54,0.5366007144820006,0.4,3.12,0.31,0.15,0.62,0.1,1.32,1.5,0.31,0.33,0.33,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,9.0,2.0,1.0,2.0,2.0,0.0,0.03,0.29,0.0,0.0,0.0,0.0,6.14,4.0,4.13,1.0,0.03,0.0,0.0,0.34,0.36,0.36,4.27,0.26,0.27,0.87,0.12,2.63,1.85,0.26,0.25,0.25,4.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,7.66,6.0,5.83,0.0,0.05,0.0,0.0,0.31,0.3,0.3,8476927,8477953,8479944,Teddy Blueger,Kasperi Kapanen
847791984792938479944,Tanev-Gaudreau-Aston-Reese,line,2,1066.0,6.0,0.86,0.67,0.64,12.87,1.93,1.05,2.8,0.43,5.56,4.23,1.73,2.06,1.84,13.0,3.0,4.0,20.0,1.0,3.0,1.0,3.0,0.0,4.0,5.0,12.0,15.0,0.0,0.0,4.0,12.0,6.0,3.0,9.0,5.0,2.0,0.35,0.76,0.81,0.0,0.0,1.0,21.53,16.0,17.33,1.0,0.23,0.95,0.95,1.21,1.28,1.26,7.05,0.33,0.29,1.42,0.2,3.11,3.65,0.32,0.31,0.31,7.0,2.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,9.0,0.0,0.0,7.0,10.0,0.0,2.0,8.0,1.0,0.0,0.17,0.15,0.0,0.0,0.0,0.0,9.31,9.0,8.44,1.0,0.06,0.0,0.0,0.38,0.37,0.37,8477919,8479293,8479944,Frederick Gaudreau,Brandon Tanev
847516084769078477482,Maceachern-Sanford-Clifford,line,2,624.0,14.0,0.15,0.29,0.23,2.15,0.07,0.11,0.53,0.07,1.37,0.86,0.07,0.06,0.06,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,4.0,9.0,1.0,4.0,3.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.09,3.0,3.0,1.0,0.02,0.0,0.0,0.09,0.08,0.08,6.97,0.38,0.33,1.65,0.23,3.95,3.47,0.38,0.4,0.4,6.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,6.0,10.0,0.0,0.0,6.0,8.0,2.0,4.0,8.0,2.0,0.0,0.2,0.18,0.0,0.0,0.0,0.0,10.13,10.0,10.22,1.0,0.07,0.0,0.0,0.45,0.47,0.46,8475160,8476907,8477482,Kyle Clifford,Mackenzie MacEachern
847797484789498482623,Macinnis-Dunne-Sherwood,line,3,1380.0,10.0,0.19,0.48,0.41,5.72,0.2,0.37,1.62,0.22,3.79,2.8,0.2,0.2,0.2,8.0,1.0,5.0,14.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,9.0,4.0,11.0,6.0,25.0,2.0,3.0,9.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,13.79,9.0,8.98,3.0,0.07,0.0,0.0,0.27,0.28,0.28,9.99,0.84,0.62,2.21,0.28,5.09,3.95,0.84,0.86,0.86,12.0,1.0,2.0,15.0,1.0,0.0,0.0,3.0,0.0,4.0,5.0,11.0,12.0,1.0,5.0,8.0,13.0,3.0,3.0,10.0,1.0,2.0,0.26,0.13,0.45,0.0,0.0,1.0,15.62,13.0,13.22,1.0,0.13,0.0,0.0,0.97,0.99,0.98,8477974,8478949,8482623,Ryan MacInnis,Kole Sherwood
847572684800188481540,Toffoli-Suzuki-Caufield,line,20,4936.0,86.0,0.37,0.4895988654781199,0.44,27.32,2.15,1.84,6.39,0.9,16.17,11.55,2.14,2.08,2.07,25.0,14.0,11.0,50.0,0.0,2.0,0.0,6.0,0.0,10.0,21.0,25.0,39.0,3.0,6.0,34.0,33.0,11.0,20.0,31.0,6.0,2.0,1.0,0.66,0.49,0.0,0.0,0.0,48.29,39.0,37.88,16.0,0.38,0.45,0.45,2.07,2.05,2.05,34.85,3.67,2.34,8.93,1.17,18.88,14.02,3.52,3.89,3.74,34.0,15.0,11.0,60.0,7.0,3.0,0.0,3.0,2.0,16.0,18.0,27.0,42.0,2.0,4.0,32.0,17.0,6.0,9.0,34.0,9.0,6.0,0.87,1.15,1.64,1.0,4.0,2.0,64.3,49.0,52.01,8.0,0.5,0.99,0.99,3.17,3.37,3.31,8475726,8480018,8481540,Tyler Toffoli,Nick Suzuki
847166984736188479400,Dubois-Stastny-Perreault,line,5,2086.0,23.0,0.52,0.51,0.56,12.99,0.83,0.86,3.22,0.43,7.16,5.5,0.82,0.82,0.81,13.0,5.0,5.0,23.0,0.0,1.0,0.0,4.0,0.0,5.0,8.0,13.0,18.0,3.0,6.0,14.0,13.0,4.0,7.0,15.0,3.0,0.0,0.51,0.32,0.0,0.0,0.0,0.0,22.94,18.0,17.84,6.0,0.18,0.14,0.14,0.88,0.88,0.87,9.85,0.76,0.68,2.37,0.33,5.72,4.15,0.75,0.8,0.8,10.0,4.0,8.0,22.0,1.0,0.0,0.0,4.0,0.0,2.0,7.0,9.0,13.0,5.0,10.0,20.0,11.0,2.0,6.0,11.0,3.0,0.0,0.43,0.32,0.0,0.0,1.0,0.0,22.84,14.0,14.76,3.0,0.14,0.0,0.0,0.9,0.95,0.95,8471669,8473618,8479400,Paul Stastny,Mathieu Perreault
847576684762858476919,Watson-Tierney-Peca,line,4,1353.0,24.0,0.7,0.49,0.57,16.7,1.42,1.04,4.22,0.57,9.49,7.27,1.36,1.35,1.3,14.0,10.0,4.0,28.0,1.0,2.0,0.0,2.0,1.0,7.0,11.0,13.0,23.0,1.0,5.0,11.0,15.0,1.0,3.0,17.0,5.0,2.0,0.48,0.49,0.45,1.0,0.0,0.0,27.03,24.0,23.32,2.0,0.21,0.33,0.33,1.3,1.26,1.23,11.86,0.6,0.72,2.95,0.38,7.99,5.36,0.59,0.63,0.62,14.0,4.0,11.0,29.0,1.0,0.0,0.0,5.0,0.0,8.0,4.0,13.0,17.0,1.0,5.0,13.0,11.0,4.0,8.0,16.0,2.0,0.0,0.42,0.18,0.0,1.0,0.0,0.0,30.5,18.0,19.01,5.0,0.14,0.0,0.0,0.74,0.77,0.77,8475766,8476285,8476919,Austin Watson,Matthew Peca
