lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47574E+20,2019,Lehkonen-Suzuki-Weal,MTL,line,5on5,8,836,87,0.74,0.72,0.65,9.84,0.95,0.62,2.7,0.28,4.93,3.52,0.88,0.85,0.79,10,3,8,21,1,0,0,4,0,3,5,9,12,0,0,10,6,4,2,9,2,2,0.25,0.21,0.49,0,0,1,18.94,13,12,2,0.13,0,0,1.08,0.97,0.91,5.04,0.33,0.33,1.24,0.14,2.95,2.01,0.33,0.36,0.36,5,2,1,8,1,0,0,0,0,3,3,4,6,0,0,5,7,2,7,6,1,0,0.21,0.12,0,1,0,0,8.84,7,7.65,7,0.07,0,0,0.39,0.43,0.43
8.47583E+20,2019,Sorensen-True-Gambrell,S.J,line,5on5,6,683,66,0.9,0.65,0.77,7.27,0.99,0.65,1.54,0.33,3.88,2.62,0.89,1.04,0.93,6,4,1,11,1,0,1,0,1,5,3,5,9,2,4,3,8,0,1,5,4,1,0.21,0.5,0.28,0,0,1,11.38,10,10.18,1,0.14,0,0.28,0.84,0.87,0.83,1.97,0.12,0.12,0.51,0.08,1.24,0.93,0.12,0.12,0.12,2,1,3,6,0,0,0,0,0,0,3,2,3,2,4,3,8,2,1,3,0,0,0.12,0,0,0,0,0,6.34,3,3.23,1,0.03,0,0,0.14,0.15,0.15
8.47168E+13,2019,Johnson-Schultz,PIT,pairing,5on5,33,10061,174,0.4,0.45,0.46,67.41,4.21,4.11,16.73,2.18,39.14,28.65,4.1,4.17,4.07,77,18,30,125,3,4,0,19,1,34,34,74,92,6,12,83,110,19,25,80,13,2,2.25,1.46,0.5,2,1,0,124.2,95,95.16,16,0.84,0.83,0.75,4.29,4.23,4.2,79.49,6.18,4.97,19.89,2.59,44.1,33.26,6.04,6.34,6.19,78,33,44,155,7,7,3,14,2,42,39,71,104,7,12,75,135,15,19,86,18,7,2.35,2.07,1.77,2,3,2,157.63,111,112.52,7,1.02,1.39,1.31,5.9,6,5.92
8.47685E+13,2019,Dermott-Rielly,TOR,pairing,5on5,24,1501,201,0.22,0.39,0.36,8.89,0.38,0.44,2.41,0.27,4.73,3.77,0.38,0.38,0.38,7,5,5,17,0,0,0,2,0,1,9,7,12,3,6,5,5,5,3,11,1,0,0.28,0.09,0,0,0,0,17,12,12.17,2,0.09,0,0,0.47,0.47,0.47,16.13,1.33,0.89,3.81,0.46,7.71,6.81,1.33,1.29,1.28,18,3,6,27,2,1,0,7,0,6,5,16,19,3,6,11,19,1,3,16,3,2,0.35,0.34,0.64,1,1,0,26.49,21,20.7,3,0.18,0.42,0.42,1.1,1.08,1.08
8.47679E+13,2019,Krug-Mcavoy,BOS,pairing,5on5,60,10644,366,0.61,0.6,0.56,104.44,9.24,7.22,24.75,3.34,59.38,42.07,9.06,9.14,8.96,106,40,72,218,12,5,2,26,4,56,43,94,134,7,14,95,61,27,22,114,24,8,4.23,2.78,2.23,3,6,3,214.31,146,143.02,12,1.5,1.43,1.2,9.54,9.44,9.28,81.36,5.9,5.28,18.93,2.69,46.15,34.04,5.82,5.97,5.89,69,44,34,147,8,4,3,14,4,27,56,61,105,19,38,69,72,37,32,90,19,4,2.72,2.17,1.02,3,1,4,147.01,113,113.31,17,1.08,0.84,0.84,6.14,6.23,6.18
8.47123E+20,2019,Coleman-Zajac-Palmieri,N.J,line,5on5,25,944,306,0.45,0.33,0.38,6.11,0.47,0.39,1.16,0.16,3.05,2.77,0.47,0.49,0.49,6,2,1,9,2,0,0,2,0,1,3,4,6,2,4,12,5,1,5,6,2,0,0.23,0.24,0,1,1,0,9.15,8,8.2,5,0.08,0,0,0.55,0.57,0.57,9.39,0.59,0.62,2.15,0.27,5.21,4.16,0.58,0.63,0.62,10,3,5,18,1,0,0,2,0,2,8,9,12,1,2,7,6,3,1,11,2,0,0.3,0.29,0,0,1,0,18.14,13,13.14,0,0.13,0,0,0.72,0.76,0.75
8.47459E+20,2019,Ennis-Mcdavid-Archibald,EDM,line,5on5,3,1429,10,0.25,0.27,0.29,6.54,0.48,0.46,1.3,0.18,3.7,2.87,0.47,0.5,0.5,8,1,3,12,2,0,0,3,0,4,0,6,7,2,4,13,9,1,3,7,2,0,0.22,0.26,0,1,1,0,12.55,9,9.5,3,0.09,0,0,0.57,0.6,0.59,15.53,1.4,1.01,4,0.61,8.39,6.59,1.23,1.33,1.17,17,5,10,32,1,5,1,5,1,2,8,16,21,0,0,12,5,4,1,17,3,2,0.46,0.31,0.63,0,0,1,30.16,22,20.92,1,0.21,0.82,0.82,0.79,0.76,0.75
8.47456E+13,2019,Ryan-Doughty,L.A,pairing,5on5,31,18838,101,0.47,0.49,0.49,134.38,8.95,7.83,34.44,4.43,75.53,56.82,8.74,9.18,8.96,130,58,57,245,5,15,4,35,6,51,76,125,183,11,25,144,99,28,50,157,24,7,3.97,2.83,2.14,1,1,3,247.18,188,189.81,29,1.61,3.05,2.99,7.57,7.72,7.61,137.21,10.01,8.33,33.15,4.42,79.03,59.04,9.82,9.93,9.74,146,48,56,250,9,10,0,37,6,56,76,137,185,12,27,163,111,38,56,163,23,8,4.66,2.74,2.61,5,2,2,250.44,194,193.75,30,1.7,2.13,2.13,9.59,9.45,9.34
8.47409E+20,2019,Ferland-Gaudette-Sutter,VAN,line,5on5,3,1059,23,0.24,0.33,0.33,4.45,0.22,0.26,0.89,0.12,2.62,1.89,0.22,0.23,0.23,5,1,3,9,1,0,0,1,1,1,2,4,5,0,0,6,12,1,3,5,1,0,0.14,0.08,0,1,0,0,9.7,6,6.3,3,0.06,0,0,0.28,0.28,0.28,8.78,0.7,0.53,2.29,0.29,4.64,3.54,0.69,0.69,0.68,9,3,6,18,1,1,0,1,2,1,6,8,11,0,0,14,5,2,3,10,1,1,0.32,0.16,0.22,0,0,1,16.63,12,11.49,1,0.11,0.07,0.07,0.74,0.73,0.72
8.47518E+13,2019,Leddy-Dobson,NYI,pairing,5on5,18,2412,176,0.75,0.53,0.55,23.69,2.09,1.7,5.3,0.74,12.39,9.78,2.08,2.07,2.06,25,7,8,40,4,1,0,5,1,5,16,21,28,3,11,16,21,3,3,21,9,2,0.59,1.03,0.47,2,2,0,38.81,32,31.73,2,0.36,0.26,0.26,2.19,2.19,2.18,18.1,0.71,1.04,4.57,0.62,10.72,8.35,0.7,0.68,0.68,17,9,10,36,0,1,0,5,2,9,9,17,26,5,13,14,20,3,7,25,1,0,0.59,0.12,0,0,0,0,36.05,26,25.82,4,0.21,0.05,0.05,0.87,0.84,0.83
