,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
1809,84745748477359,2021,Myers-Poolman,VAN,pairing,5on5,25,3562.0,192.0,0.39,0.35,0.38,19.88,1.86,1.25,5.22,0.68,9.91,7.09,1.77,1.82,1.74,22.0,4.0,10.0,36.0,2.0,2.0,0.0,8.0,1.0,4.0,9.0,20.0,24.0,3.0,6.0,23.0,27.0,10.0,8.0,18.0,6.0,2.0,0.58,0.78,0.5,1.0,1.0,0.0,35.98,26.0,26.03,7.0,0.26,0.45,0.45,1.67,1.65,1.64,29.34,2.91,2.03,7.06,1.0,17.25,12.75,2.73,2.9,2.72,29.0,14.0,25.0,68.0,2.0,4.0,0.0,4.0,1.0,16.0,16.0,27.0,41.0,1.0,2.0,34.0,21.0,7.0,0.0,33.0,7.0,3.0,1.08,0.81,1.02,2.0,0.0,0.0,67.09,43.0,42.77,0.0,0.42,1.2,1.2,2.13,2.15,2.1,8474574,8477359,,-0.155512006967774,-0.145698744100472
1815,84779868482641,2021,Kiersted-Montour,FLA,pairing,5on5,9,2239.0,52.0,0.48,0.5,0.53,22.25,1.83,1.44,5.55,0.82,12.93,9.44,1.8,1.85,1.82,24.0,8.0,11.0,43.0,2.0,3.0,1.0,3.0,0.0,11.0,13.0,22.0,30.0,6.0,12.0,12.0,14.0,6.0,7.0,27.0,3.0,2.0,0.98,0.35,0.49,2.0,0.0,0.0,45.09,32.0,32.68,4.0,0.29,0.47,0.47,1.65,1.67,1.66,20.7,1.95,1.38,5.03,0.71,10.68,8.25,1.92,1.94,1.91,21.0,7.0,15.0,43.0,1.0,1.0,0.0,6.0,2.0,13.0,5.0,20.0,27.0,3.0,6.0,13.0,28.0,6.0,6.0,16.0,11.0,1.0,0.54,1.16,0.25,1.0,0.0,0.0,42.23,28.0,27.56,2.0,0.29,0.25,0.25,1.98,1.96,1.94,8477986,8482641,,0.013928070175438623,-0.06185023482584329
1824,84780388479398,2021,Toews-Girard,COL,pairing,5on5,52,8752.0,324.0,0.66,0.62,0.6,90.38,7.18,6.3,21.25,2.94,51.0,38.32,6.94,7.34,7.1,93.0,34.0,46.0,173.0,12.0,5.0,1.0,23.0,4.0,31.0,52.0,81.0,115.0,9.0,18.0,50.0,41.0,15.0,18.0,94.0,28.0,5.0,2.91,3.13,1.14,6.0,6.0,0.0,178.62,127.0,130.26,7.0,1.3,0.78,1.04,7.45,7.59,7.44,60.25,3.77,3.72,14.55,1.98,34.41,25.57,3.59,3.73,3.55,56.0,28.0,24.0,108.0,5.0,5.0,1.0,17.0,4.0,23.0,30.0,51.0,79.0,9.0,18.0,87.0,51.0,18.0,23.0,68.0,14.0,2.0,1.58,1.64,0.55,2.0,2.0,1.0,105.79,84.0,83.01,19.0,0.76,0.79,0.79,3.74,3.69,3.6,8478038,8479398,,0.11334227696810784,0.05626028239939351
1831,84747168478136,2021,Middleton-Spurgeon,MIN,pairing,5on5,19,14508.0,50.0,0.51,0.47,0.47,112.37,10.01,7.51,26.51,3.6,61.56,44.81,9.66,10.18,9.81,120.0,34.0,50.0,204.0,15.0,14.0,4.0,25.0,1.0,49.0,50.0,105.0,139.0,23.0,58.0,136.0,104.0,31.0,28.0,115.0,30.0,9.0,3.62,3.89,2.51,7.0,4.0,4.0,209.09,154.0,156.87,13.0,1.57,2.81,2.81,8.77,8.85,8.71,125.15,9.66,8.1,32.09,4.22,68.78,50.16,9.27,9.56,9.17,125.0,48.0,53.0,226.0,8.0,12.0,1.0,28.0,4.0,59.0,62.0,117.0,165.0,23.0,58.0,135.0,108.0,24.0,30.0,129.0,37.0,7.0,3.17,4.51,1.98,2.0,4.0,2.0,220.36,173.0,170.01,18.0,1.67,2.26,2.26,9.08,8.98,8.78,8474716,8478136,,0.012894595079906535,-0.106497420209123
1832,84746188481059,2021,Scandella-Perunovich,STL,pairing,5on5,14,2559.0,121.0,0.44,0.54,0.51,25.4,1.94,1.66,5.64,0.82,14.17,10.78,1.9,1.97,1.94,27.0,8.0,10.0,45.0,2.0,1.0,1.0,7.0,0.0,11.0,14.0,25.0,33.0,1.0,2.0,13.0,15.0,3.0,4.0,26.0,7.0,2.0,0.77,0.7,0.47,1.0,0.0,1.0,46.78,35.0,36.41,2.0,0.34,0.24,0.26,2.02,2.06,2.05,24.71,2.42,1.81,6.14,0.94,13.01,9.66,2.34,2.36,2.28,24.0,10.0,5.0,39.0,1.0,3.0,0.0,9.0,0.0,10.0,11.0,23.0,33.0,0.0,0.0,17.0,31.0,8.0,7.0,27.0,4.0,3.0,1.01,0.55,0.86,1.0,0.0,0.0,37.23,34.0,32.72,4.0,0.38,0.86,0.86,1.95,1.91,1.9,8474618,8481059,,0.036324765200197784,0.1041161331832074
1836,84752338481014,2021,Romanov-Savard,MTL,pairing,5on5,48,26920.0,167.0,0.48,0.44,0.43,199.79,19.11,13.95,48.95,6.78,108.15,78.06,18.36,19.04,18.29,203.0,72.0,94.0,369.0,17.0,22.0,4.0,50.0,8.0,84.0,94.0,186.0,258.0,33.0,67.0,196.0,212.0,48.0,84.0,196.0,56.0,23.0,6.09,7.02,6.0,5.0,6.0,6.0,363.4,275.0,270.66,54.0,2.91,4.46,4.54,17.48,17.41,17.18,264.99,20.32,17.47,63.17,8.45,151.71,108.88,19.91,20.67,20.25,269.0,101.0,109.0,479.0,25.0,11.0,1.0,64.0,9.0,130.0,131.0,244.0,345.0,29.0,61.0,221.0,205.0,61.0,119.0,293.0,64.0,13.0,9.29,7.62,3.41,12.0,12.0,1.0,494.78,370.0,381.41,84.0,3.6,2.28,2.44,21.48,21.88,21.55,8475233,8481014,,-0.044724597516728304,0.0
1837,84773558479578,2021,Butcher-Fitzgerald,BUF,pairing,5on5,8,4550.0,27.0,0.5,0.53,0.52,29.93,2.68,2.1,6.71,1.0,17.7,13.07,2.63,2.63,2.58,33.0,14.0,14.0,61.0,2.0,0.0,0.0,6.0,2.0,14.0,23.0,31.0,45.0,1.0,2.0,26.0,29.0,5.0,9.0,37.0,9.0,1.0,1.39,1.09,0.2,2.0,0.0,0.0,59.2,47.0,45.82,3.0,0.43,0.0,0.0,2.85,2.77,2.71,24.37,2.66,1.7,5.72,0.84,14.32,10.29,2.65,2.64,2.63,32.0,11.0,12.0,55.0,5.0,1.0,1.0,8.0,1.0,16.0,12.0,27.0,38.0,3.0,6.0,33.0,33.0,3.0,7.0,34.0,8.0,1.0,1.21,0.98,0.47,3.0,1.0,1.0,56.03,43.0,43.27,6.0,0.34,0.47,0.47,2.01,2.04,2.03,8477355,8479578,,0.05794759825327511,0.04612011567691171
1839,84740908479320,2021,Smith-Lajoie,CAR,pairing,5on5,5,1363.0,23.0,0.62,0.57,0.57,9.28,1.08,0.58,2.36,0.32,5.03,3.62,1.04,1.06,1.02,11.0,2.0,4.0,17.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,9.0,11.0,1.0,2.0,18.0,8.0,5.0,4.0,8.0,4.0,1.0,0.2,0.57,0.31,0.0,1.0,1.0,17.21,13.0,12.81,3.0,0.12,0.31,0.51,0.69,0.68,0.67,7.06,0.67,0.5,1.36,0.22,3.99,3.26,0.66,0.64,0.63,7.0,3.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,7.0,10.0,0.0,0.0,11.0,4.0,3.0,9.0,7.0,2.0,1.0,0.24,0.18,0.25,0.0,0.0,0.0,12.59,10.0,9.69,3.0,0.1,0.25,0.25,0.53,0.51,0.51,8474090,8479320,,-0.06659512195121953,0.0
1851,84780218479338,2021,Lagesson-Niemelainen,EDM,pairing,5on5,11,2166.0,82.0,0.38,0.42,0.38,9.83,0.63,0.56,2.42,0.32,5.78,4.28,0.63,0.63,0.63,10.0,4.0,7.0,21.0,2.0,0.0,0.0,5.0,0.0,4.0,3.0,8.0,12.0,3.0,6.0,9.0,23.0,2.0,4.0,11.0,3.0,0.0,0.3,0.33,0.0,1.0,1.0,0.0,21.02,14.0,14.11,3.0,0.12,0.0,0.0,0.75,0.74,0.74,15.97,1.02,0.98,3.94,0.58,9.29,7.18,1.01,1.05,1.03,16.0,7.0,6.0,29.0,3.0,1.0,0.0,3.0,0.0,2.0,14.0,13.0,20.0,3.0,6.0,11.0,20.0,2.0,7.0,21.0,1.0,1.0,0.67,0.13,0.22,2.0,0.0,1.0,29.83,23.0,23.43,7.0,0.2,0.13,0.13,1.1,1.1,1.1,8478021,8479338,,-0.07101542634344804,-0.1325717049576784
1855,84740278482073,2021,Schneider-Braun,NYR,pairing,5on5,6,3881.0,22.0,0.49,0.37,0.35,14.9,1.57,1.03,3.6,0.57,8.33,5.9,1.48,1.6,1.52,16.0,5.0,10.0,31.0,2.0,2.0,0.0,2.0,1.0,4.0,10.0,14.0,19.0,2.0,7.0,27.0,29.0,5.0,16.0,16.0,2.0,3.0,0.46,0.29,0.82,2.0,0.0,0.0,32.8,21.0,21.82,7.0,0.21,0.56,0.56,1.22,1.27,1.26,26.38,1.67,1.65,6.16,0.84,16.54,12.15,1.64,1.6,1.58,22.0,17.0,14.0,53.0,1.0,0.0,0.0,3.0,2.0,10.0,23.0,21.0,38.0,3.0,9.0,28.0,41.0,9.0,13.0,33.0,6.0,0.0,0.97,0.69,0.0,0.0,1.0,0.0,50.6,39.0,36.93,6.0,0.34,0.0,0.0,2.0,1.92,1.89,8474027,8482073,,-0.05569947425617522,-0.09529002847276913
1856,84753248479482,2021,Kempny-Jensen,WSH,pairing,5on5,9,2063.0,55.0,0.35,0.43,0.43,12.4,0.72,0.73,3.12,0.41,7.37,5.65,0.64,0.66,0.59,11.0,7.0,8.0,26.0,0.0,1.0,0.0,3.0,0.0,6.0,8.0,11.0,18.0,5.0,10.0,9.0,18.0,2.0,6.0,16.0,1.0,1.0,0.35,0.1,0.26,0.0,0.0,0.0,24.25,18.0,16.95,4.0,0.15,0.03,0.03,0.84,0.78,0.7,17.99,1.36,1.23,3.89,0.54,9.59,7.39,1.35,1.49,1.48,18.0,6.0,11.0,35.0,1.0,1.0,0.0,1.0,0.0,7.0,14.0,17.0,23.0,3.0,6.0,17.0,13.0,6.0,3.0,16.0,8.0,0.0,0.33,1.03,0.0,1.0,0.0,0.0,39.26,24.0,26.88,1.0,0.26,0.17,0.17,1.44,1.58,1.56,8475324,8479482,,-0.0237704468610071,-0.0719804981074113
1857,84815998481609,2021,Kolyachonok-Soderstrom,ARI,pairing,5on5,4,2797.0,10.0,0.32,0.3,0.34,16.09,1.45,1.11,3.72,0.51,8.03,6.18,1.26,1.36,1.19,14.0,7.0,2.0,23.0,1.0,2.0,0.0,4.0,1.0,6.0,7.0,13.0,20.0,1.0,2.0,13.0,18.0,5.0,11.0,14.0,6.0,1.0,0.34,0.85,0.26,1.0,0.0,0.0,22.01,21.0,20.3,5.0,0.24,0.46,0.46,1.23,1.18,1.11,30.83,3.14,1.97,7.39,0.98,15.39,12.13,3.01,3.2,3.08,31.0,10.0,12.0,53.0,4.0,4.0,2.0,6.0,1.0,12.0,14.0,27.0,37.0,1.0,2.0,21.0,30.0,4.0,7.0,30.0,6.0,5.0,0.82,0.65,1.67,1.0,1.0,2.0,54.16,41.0,41.57,3.0,0.41,1.46,1.46,2.09,2.12,2.1,8481599,8481609,,-0.16580880967632544,-0.13728780487804876
1862,84774958482192,2021,Phillips-Jones,CHI,pairing,5on5,4,947.0,26.0,0.77,0.67,0.67,10.46,0.8,0.69,3.17,0.5,5.33,3.5,0.78,0.74,0.73,13.0,1.0,2.0,16.0,0.0,1.0,0.0,4.0,0.0,3.0,6.0,13.0,14.0,1.0,2.0,10.0,6.0,2.0,3.0,11.0,2.0,1.0,0.29,0.28,0.22,0.0,0.0,0.0,14.89,14.0,12.99,2.0,0.14,0.04,0.26,0.67,0.64,0.63,5.12,0.24,0.3,1.16,0.14,3.11,2.05,0.23,0.26,0.24,6.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,6.0,7.0,3.0,6.0,7.0,4.0,1.0,3.0,6.0,1.0,0.0,0.14,0.1,0.0,0.0,0.0,0.0,8.78,7.0,7.42,2.0,0.06,0.0,0.0,0.3,0.32,0.31,8477495,8482192,,0.1805434203516249,0.19236834138443926
