,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
1,84774198480860,2021,Bahl-Geertsen,NJD,pairing,5on5,3,762.0,14.0,0.4,0.36,0.29,3.65,0.4,0.21,0.94,0.13,1.99,1.33,0.4,0.4,0.4,4.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,7.0,9.0,1.0,0.0,3.0,2.0,0.0,0.12,0.28,0.0,0.0,0.0,0.0,7.64,5.0,4.83,0.0,0.04,0.0,0.0,0.45,0.44,0.44,8.74,0.62,0.46,2.11,0.27,4.85,3.69,0.6,0.64,0.63,7.0,5.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,0.0,0.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,0.31,0.31,0.0,0.0,2.0,0.0,14.65,12.0,12.42,1.0,0.1,0.0,0.0,0.71,0.74,0.73,8477419,8480860,,-0.11603368845378637,-0.08632562000622601
2,84758258476902,2021,Lindell-Hakanpaa,DAL,pairing,5on5,72,16662.0,352.0,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100.0,39.0,47.0,186.0,9.0,8.0,2.0,27.0,5.0,28.0,62.0,91.0,130.0,17.0,37.0,157.0,167.0,30.0,35.0,96.0,31.0,12.0,2.27,3.54,3.26,2.0,4.0,3.0,186.4,139.0,139.05,22.0,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136.0,47.0,87.0,270.0,8.0,10.0,1.0,35.0,4.0,60.0,66.0,128.0,175.0,18.0,39.0,106.0,124.0,22.0,53.0,137.0,37.0,9.0,3.91,4.19,2.74,3.0,4.0,1.0,269.79,183.0,181.5,30.0,1.8,2.24,2.24,10.4,10.36,10.18,8475825,8476902,,-0.06264475980875772,-0.06725166180033554
5,84779698478507,2021,Pettersson-Marino,PIT,pairing,5on5,66,43147.0,201.0,0.53,0.55,0.55,366.38,26.92,23.54,87.11,11.69,203.97,152.77,25.99,27.52,26.57,374.0,132.0,158.0,664.0,25.0,27.0,5.0,92.0,12.0,156.0,194.0,349.0,481.0,44.0,104.0,303.0,318.0,81.0,87.0,402.0,84.0,20.0,11.7,9.83,5.39,10.0,12.0,3.0,684.28,506.0,518.43,44.0,4.83,4.79,4.79,26.96,27.48,27.01,302.67,24.23,19.66,73.74,10.56,165.91,124.89,23.43,24.11,23.32,298.0,121.0,133.0,552.0,20.0,21.0,3.0,77.0,9.0,123.0,169.0,278.0,399.0,38.0,88.0,289.0,400.0,74.0,83.0,317.0,84.0,18.0,8.88,10.16,5.19,8.0,6.0,6.0,538.82,419.0,413.21,46.0,4.04,4.16,4.46,23.82,23.68,23.38,8477969,8478507,,0.06314495685350685,0.030514929631038523
6,84794028480871,2021,Bean-Boqvist,CBJ,pairing,5on5,26,3844.0,176.0,0.29,0.4,0.38,28.25,1.72,1.61,6.8,0.88,15.44,12.56,1.7,1.69,1.68,27.0,12.0,8.0,47.0,5.0,0.0,0.0,9.0,4.0,5.0,16.0,22.0,34.0,4.0,8.0,29.0,21.0,7.0,15.0,34.0,5.0,0.0,1.12,0.6,0.0,3.0,2.0,0.0,44.99,39.0,37.99,9.0,0.33,0.0,0.0,2.05,2.02,2.0,45.81,4.24,3.1,10.0,1.34,24.74,18.63,4.12,4.47,4.34,50.0,13.0,9.0,72.0,2.0,5.0,0.0,15.0,1.0,18.0,22.0,48.0,61.0,1.0,2.0,29.0,17.0,5.0,8.0,44.0,14.0,5.0,1.3,1.64,1.29,1.0,1.0,0.0,78.09,63.0,67.02,4.0,0.64,1.06,1.06,3.75,3.94,3.89,8479402,8480871,,-0.08746136115491926,-0.08453268479622661
7,84716778479439,2021,Johnson-Macdonald,COL,pairing,5on5,5,1396.0,30.0,0.62,0.65,0.58,12.61,1.01,0.88,2.78,0.4,7.4,5.53,1.0,1.05,1.03,12.0,6.0,10.0,28.0,1.0,1.0,0.0,3.0,0.0,8.0,5.0,11.0,17.0,3.0,9.0,13.0,8.0,1.0,2.0,14.0,3.0,1.0,0.27,0.4,0.34,1.0,0.0,0.0,29.39,18.0,18.4,0.0,0.18,0.34,0.34,0.85,0.88,0.87,9.53,0.61,0.53,2.34,0.3,5.27,3.94,0.61,0.59,0.59,11.0,2.0,2.0,15.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0,10.0,12.0,2.0,7.0,6.0,10.0,6.0,3.0,10.0,2.0,1.0,0.18,0.22,0.21,0.0,1.0,0.0,14.19,13.0,12.53,2.0,0.11,0.0,0.0,0.72,0.69,0.69,8471677,8479439,,0.05816525699414443,0.1632585892479393
11,84745638479998,2021,Anderson-Doughty,LAK,pairing,5on5,36,35275.0,49.0,0.57,0.59,0.59,336.02,27.8,22.43,79.19,10.99,184.36,138.24,26.84,27.94,26.98,341.0,122.0,149.0,612.0,26.0,22.0,5.0,82.0,4.0,125.0,204.0,315.0,437.0,34.0,80.0,278.0,223.0,50.0,64.0,355.0,85.0,23.0,10.57,10.67,6.55,11.0,8.0,7.0,619.3,463.0,467.4,41.0,4.64,5.4,4.78,27.66,27.79,27.42,237.8,21.06,16.33,55.1,7.61,130.11,95.8,20.41,21.45,20.79,238.0,88.0,96.0,422.0,25.0,25.0,5.0,64.0,10.0,87.0,115.0,213.0,301.0,46.0,105.0,285.0,285.0,46.0,83.0,239.0,66.0,21.0,7.57,7.7,5.79,7.0,13.0,5.0,425.9,326.0,329.75,58.0,3.39,4.4,4.64,19.8,20.12,19.87,8474563,8479998,,0.11923182603234406,0.0
14,84768538478408,2021,Rielly-Dermott,TOR,pairing,5on5,28,5256.0,204.0,0.39,0.5,0.46,42.35,3.57,2.93,9.01,1.22,23.43,16.85,3.53,3.45,3.42,42.0,15.0,24.0,81.0,5.0,0.0,0.0,10.0,1.0,12.0,29.0,37.0,52.0,4.0,8.0,36.0,23.0,17.0,23.0,39.0,16.0,2.0,1.26,1.87,0.44,1.0,2.0,2.0,78.01,57.0,55.37,13.0,0.61,0.0,0.0,4.17,4.04,4.0,49.46,5.64,3.48,11.18,1.64,25.21,19.86,5.4,5.92,5.66,49.0,18.0,14.0,81.0,6.0,5.0,3.0,11.0,0.0,21.0,24.0,43.0,61.0,4.0,8.0,35.0,38.0,6.0,23.0,46.0,11.0,10.0,1.2,1.44,2.99,0.0,2.0,4.0,82.98,67.0,69.15,20.0,0.73,1.43,1.34,5.03,5.24,5.11,8476853,8478408,,-0.03335860952543246,-0.04247629592113167
16,84751978477498,2021,Nurse-Barrie,EDM,pairing,5on5,48,18303.0,210.0,0.5,0.5,0.47,163.45,13.78,11.19,38.1,5.22,92.02,67.68,13.18,13.94,13.33,166.0,62.0,81.0,309.0,14.0,10.0,4.0,41.0,5.0,76.0,82.0,152.0,214.0,27.0,54.0,179.0,126.0,33.0,62.0,176.0,42.0,10.0,5.51,5.3,2.96,5.0,5.0,4.0,313.02,228.0,229.8,39.0,2.33,2.65,2.9,13.21,13.32,13.02,183.79,13.91,12.02,44.56,6.1,106.31,76.1,13.54,13.91,13.54,186.0,73.0,51.0,310.0,12.0,16.0,1.0,32.0,8.0,91.0,100.0,174.0,247.0,19.0,38.0,137.0,121.0,45.0,42.0,200.0,55.0,4.0,6.38,6.4,1.13,9.0,2.0,1.0,309.51,259.0,259.55,29.0,2.46,1.74,1.74,14.63,14.63,14.34,8475197,8477498,,-0.05078995460708602,0.0
19,84740318475764,2021,Fowler-Shattenkirk,ANA,pairing,5on5,76,20585.0,348.0,0.54,0.52,0.53,175.84,15.13,11.17,40.73,5.74,93.05,75.17,14.64,15.04,14.56,170.0,71.0,69.0,310.0,20.0,16.0,5.0,40.0,4.0,65.0,96.0,150.0,221.0,16.0,38.0,138.0,122.0,38.0,53.0,180.0,46.0,15.0,5.33,5.74,4.05,6.0,7.0,7.0,305.19,241.0,238.01,28.0,2.31,3.34,3.52,13.93,13.94,13.74,154.57,12.89,10.5,35.24,4.87,88.03,64.48,12.61,12.84,12.57,163.0,53.0,76.0,292.0,12.0,9.0,2.0,38.0,10.0,62.0,85.0,151.0,204.0,19.0,44.0,174.0,108.0,31.0,72.0,161.0,49.0,6.0,5.14,6.04,1.71,5.0,5.0,2.0,290.75,216.0,215.6,35.0,2.17,2.02,2.02,13.05,12.97,12.78,8474031,8475764,,0.013176501450527733,0.0801205506231164
21,84789158481014,2021,Romanov-Niku,MTL,pairing,5on5,8,1081.0,60.0,0.6,0.45,0.56,9.96,0.86,0.69,2.3,0.31,5.8,4.03,0.85,0.89,0.88,10.0,4.0,1.0,15.0,2.0,0.0,0.0,2.0,0.0,4.0,6.0,8.0,12.0,1.0,2.0,8.0,10.0,2.0,3.0,11.0,3.0,0.0,0.46,0.4,0.0,0.0,2.0,0.0,15.56,14.0,14.51,3.0,0.14,0.0,0.0,1.0,1.04,1.03,8.02,0.58,0.47,2.0,0.3,4.4,3.25,0.58,0.6,0.59,9.0,2.0,7.0,18.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,9.0,11.0,1.0,2.0,8.0,12.0,0.0,3.0,9.0,2.0,0.0,0.33,0.25,0.0,0.0,0.0,0.0,18.36,11.0,11.37,3.0,0.1,0.0,0.0,0.68,0.7,0.69,8478915,8481014,,-0.020267952308950732,-0.011224512913457219
23,84811228482142,2021,Benoit-Drysdale,ANA,pairing,5on5,24,863.0,189.0,0.32,0.25,0.26,5.65,0.7,0.33,1.29,0.19,2.3,2.19,0.63,0.69,0.62,6.0,1.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,0.1,0.09,0.51,0.0,0.0,0.0,9.79,7.0,6.94,1.0,0.07,0.21,0.21,0.57,0.56,0.54,14.67,1.47,0.91,3.45,0.49,7.65,6.03,1.44,1.53,1.5,14.0,6.0,10.0,30.0,2.0,2.0,0.0,3.0,0.0,7.0,6.0,12.0,18.0,0.0,0.0,0.0,7.0,5.0,2.0,15.0,3.0,2.0,0.37,0.34,0.77,1.0,0.0,1.0,31.29,20.0,20.95,1.0,0.19,0.48,0.48,1.18,1.24,1.22,8481122,8482142,,-0.23241023399268995,-0.21437922868741544
25,84768548479372,2021,Lindholm-Mahura,ANA,pairing,5on5,10,660.0,62.0,0.88,0.83,0.78,4.79,0.31,0.3,0.94,0.16,2.91,2.39,0.31,0.29,0.29,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,0.0,0.12,0.19,0.0,0.0,0.0,0.0,9.76,7.0,6.88,1.0,0.06,0.0,0.0,0.37,0.35,0.35,1.47,0.04,0.08,0.42,0.04,0.8,0.61,0.04,0.04,0.04,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.15,2.0,2.12,0.0,0.01,0.0,0.0,0.06,0.06,0.06,8476854,8479372,,0.38824240830813717,0.33277106287691793
32,84757968476525,2021,Pysyk-Miller,BUF,pairing,5on5,20,2824.0,163.0,0.45,0.49,0.44,23.13,1.46,1.44,5.66,0.71,13.17,9.56,1.41,1.42,1.37,20.0,12.0,15.0,47.0,1.0,1.0,0.0,4.0,0.0,11.0,15.0,19.0,31.0,3.0,6.0,7.0,10.0,4.0,5.0,26.0,5.0,1.0,0.67,0.55,0.24,1.0,0.0,0.0,45.62,32.0,31.33,4.0,0.29,0.18,0.18,1.57,1.54,1.5,29.15,1.76,1.76,7.09,0.88,15.64,12.86,1.72,1.77,1.72,29.0,11.0,8.0,48.0,1.0,2.0,0.0,10.0,2.0,11.0,14.0,28.0,39.0,2.0,4.0,21.0,19.0,2.0,7.0,35.0,3.0,2.0,1.03,0.32,0.41,1.0,0.0,0.0,48.71,40.0,40.56,2.0,0.36,0.41,0.41,1.71,1.72,1.68,8475796,8476525,,0.0,0.03140448599990053
33,84773468479523,2021,Carlsson-Weegar,FLA,pairing,5on5,16,2103.0,132.0,0.59,0.65,0.69,25.74,1.85,1.86,5.75,0.85,14.4,11.29,1.81,1.97,1.93,29.0,7.0,15.0,51.0,2.0,1.0,1.0,11.0,0.0,12.0,10.0,27.0,34.0,2.0,4.0,15.0,19.0,7.0,4.0,31.0,4.0,1.0,0.97,0.57,0.31,0.0,1.0,1.0,55.22,36.0,38.05,1.0,0.38,0.31,0.31,1.92,2.01,1.99,12.05,1.27,0.87,3.04,0.48,6.15,4.19,1.23,1.3,1.26,14.0,2.0,11.0,27.0,0.0,1.0,0.0,4.0,0.0,3.0,8.0,14.0,16.0,0.0,0.0,21.0,23.0,7.0,8.0,10.0,5.0,1.0,0.37,0.62,0.28,0.0,0.0,0.0,26.38,16.0,15.83,6.0,0.19,0.28,0.28,1.18,1.2,1.19,8477346,8479523,,0.09681587381612589,0.0716602194679089
37,84793458479982,2021,Chychrun-Timmins,ARI,pairing,5on5,5,1296.0,36.0,0.68,0.63,0.62,16.97,1.48,1.2,4.01,0.55,9.53,7.24,1.44,1.45,1.4,13.0,11.0,9.0,33.0,0.0,3.0,0.0,3.0,0.0,10.0,8.0,13.0,24.0,2.0,7.0,11.0,6.0,1.0,0.0,19.0,4.0,1.0,0.66,0.52,0.3,0.0,0.0,0.0,30.35,24.0,22.77,0.0,0.25,0.49,0.49,1.24,1.22,1.19,10.77,0.69,0.66,2.74,0.33,6.18,4.4,0.68,0.71,0.71,14.0,1.0,4.0,19.0,2.0,0.0,0.0,4.0,0.0,5.0,4.0,12.0,13.0,3.0,9.0,9.0,4.0,6.0,2.0,13.0,2.0,0.0,0.4,0.28,0.0,2.0,0.0,0.0,21.15,15.0,16.03,1.0,0.13,0.0,0.0,0.82,0.85,0.85,8479345,8479982,,0.14317663486153126,0.16409115122817408
38,84754558477504,2021,Morrissey-Dillon,WPG,pairing,5on5,55,3134.0,413.0,0.59,0.52,0.6,28.0,2.47,1.81,6.38,0.9,15.95,12.5,2.43,2.43,2.39,29.0,11.0,8.0,48.0,3.0,1.0,0.0,8.0,0.0,13.0,15.0,26.0,37.0,5.0,10.0,3.0,30.0,7.0,6.0,30.0,9.0,1.0,1.07,1.07,0.33,1.0,2.0,0.0,47.83,40.0,39.7,5.0,0.37,0.33,0.33,2.51,2.48,2.46,19.48,1.71,1.35,4.19,0.61,10.96,8.19,1.7,1.72,1.71,18.0,9.0,17.0,44.0,1.0,0.0,0.0,3.0,1.0,10.0,12.0,17.0,26.0,6.0,13.0,0.0,24.0,8.0,9.0,18.0,9.0,0.0,0.6,1.11,0.0,0.0,1.0,0.0,44.02,27.0,26.93,7.0,0.28,0.0,0.0,1.98,1.99,1.99,8475455,8477504,,0.0,0.041661651843113434
43,84757968480035,2021,Jokiharju-Pysyk,BUF,pairing,5on5,39,1747.0,337.0,0.37,0.3,0.28,10.05,1.19,0.67,2.2,0.34,5.42,4.18,1.13,1.13,1.08,10.0,4.0,5.0,19.0,2.0,1.0,1.0,1.0,0.0,4.0,6.0,8.0,12.0,1.0,2.0,0.0,7.0,3.0,2.0,8.0,5.0,1.0,0.25,0.59,0.35,0.0,1.0,1.0,18.55,14.0,13.58,1.0,0.14,0.35,0.35,0.98,0.95,0.94,23.03,2.04,1.58,5.13,0.8,14.0,10.58,2.01,2.16,2.13,32.0,4.0,9.0,45.0,1.0,5.0,0.0,9.0,2.0,4.0,15.0,31.0,35.0,2.0,2.0,4.0,9.0,4.0,2.0,29.0,5.0,2.0,0.94,0.52,0.58,0.0,0.0,1.0,47.36,36.0,37.5,1.0,0.32,0.8,0.65,1.57,1.65,1.64,8475796,8480035,,-0.19518632521366858,-0.16455259128961858
52,84773598480056,2021,Rathbone-Poolman,VAN,pairing,5on5,7,775.0,46.0,0.31,0.37,0.38,4.31,0.27,0.25,1.03,0.13,2.45,1.88,0.27,0.28,0.28,4.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,1.0,4.0,5.0,4.0,0.0,0.0,4.0,2.0,0.0,0.06,0.21,0.0,0.0,0.0,0.0,7.03,6.0,6.18,0.0,0.05,0.0,0.0,0.32,0.33,0.33,7.59,0.61,0.43,1.48,0.2,3.61,3.67,0.59,0.61,0.58,7.0,3.0,2.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,7.0,10.0,3.0,6.0,4.0,5.0,1.0,0.0,8.0,1.0,1.0,0.21,0.08,0.32,0.0,0.0,0.0,12.2,10.0,10.16,0.0,0.09,0.32,0.32,0.38,0.38,0.38,8477359,8480056,,-0.09003723490367493,-0.12266208673250323
57,84789118479421,2021,Moverare-Roy,LAK,pairing,5on5,6,1716.0,35.0,0.41,0.51,0.5,13.72,0.67,0.79,3.06,0.42,7.82,6.23,0.66,0.63,0.63,17.0,2.0,8.0,27.0,0.0,0.0,0.0,4.0,0.0,9.0,6.0,17.0,19.0,2.0,7.0,15.0,17.0,1.0,2.0,17.0,2.0,0.0,0.48,0.19,0.0,0.0,0.0,0.0,25.5,19.0,18.15,1.0,0.16,0.0,0.0,0.83,0.79,0.78,13.67,0.95,0.89,3.16,0.49,7.61,5.9,0.95,1.01,1.0,13.0,6.0,7.0,26.0,0.0,0.0,0.0,5.0,0.0,6.0,8.0,13.0,19.0,1.0,5.0,11.0,17.0,0.0,2.0,15.0,4.0,0.0,0.51,0.45,0.0,0.0,0.0,0.0,28.06,19.0,19.91,2.0,0.18,0.0,0.0,1.13,1.2,1.19,8478911,8479421,,-0.033421962244084114,-0.05125535868436082
58,84774718479376,2021,Mete-Heatherington,OTT,pairing,5on5,4,1640.0,12.0,0.6,0.45,0.5,14.18,1.56,1.0,3.07,0.47,6.49,5.41,1.45,1.66,1.54,13.0,5.0,2.0,20.0,0.0,2.0,0.0,3.0,0.0,4.0,9.0,13.0,18.0,3.0,12.0,9.0,19.0,4.0,6.0,10.0,5.0,3.0,0.2,0.66,0.69,0.0,0.0,0.0,21.17,18.0,18.92,4.0,0.21,0.46,0.46,1.31,1.39,1.37,13.55,1.05,0.9,2.87,0.38,7.32,5.48,1.03,1.0,0.97,12.0,6.0,6.0,24.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,12.0,18.0,4.0,14.0,8.0,10.0,3.0,2.0,14.0,4.0,0.0,0.49,0.56,0.0,0.0,0.0,0.0,22.21,18.0,17.05,0.0,0.19,0.0,0.0,1.24,1.18,1.15,8477471,8479376,,-0.021282753226437134,0.05623762376237623
59,84751778476979,2021,Gustafsson-De Haan,CHI,pairing,5on5,39,3426.0,361.0,0.58,0.68,0.67,38.6,2.58,2.44,9.31,1.21,21.92,16.54,2.55,2.54,2.5,38.0,16.0,19.0,73.0,4.0,2.0,2.0,8.0,0.0,16.0,24.0,34.0,50.0,0.0,0.0,22.0,27.0,2.0,8.0,44.0,8.0,2.0,1.23,0.9,0.46,2.0,1.0,1.0,69.42,54.0,51.69,6.0,0.5,0.26,0.26,2.82,2.74,2.7,19.92,1.86,1.41,5.0,0.72,10.35,7.68,1.81,1.94,1.89,23.0,4.0,7.0,34.0,5.0,2.0,2.0,8.0,0.0,7.0,5.0,18.0,22.0,2.0,4.0,15.0,22.0,7.0,11.0,18.0,8.0,1.0,0.5,1.05,0.31,2.0,2.0,1.0,36.27,27.0,28.56,9.0,0.29,0.36,0.36,1.79,1.84,1.82,8475177,8476979,,0.19378148255748995,0.2208524021419414
60,84746008479026,2021,Josi-Myers,NSH,pairing,5on5,25,4296.0,140.0,0.58,0.59,0.54,33.7,2.63,2.23,8.65,1.13,18.91,13.45,2.52,2.68,2.57,31.0,16.0,23.0,70.0,3.0,2.0,0.0,5.0,2.0,18.0,17.0,28.0,44.0,7.0,14.0,13.0,45.0,5.0,15.0,36.0,10.0,1.0,1.11,1.28,0.23,1.0,1.0,1.0,70.73,47.0,47.68,8.0,0.46,0.19,0.19,2.9,2.95,2.83,27.95,1.9,1.82,6.64,0.95,16.47,12.23,1.8,1.93,1.82,34.0,6.0,8.0,48.0,2.0,3.0,0.0,5.0,1.0,10.0,19.0,32.0,38.0,6.0,12.0,28.0,31.0,1.0,12.0,31.0,8.0,1.0,0.81,0.84,0.24,1.0,1.0,0.0,47.22,40.0,40.09,7.0,0.37,0.51,0.51,1.75,1.75,1.71,8474600,8479026,,0.13687443130118288,0.08372868116130705
63,84768508480069,2021,Murray-Makar,COL,pairing,5on5,25,1972.0,219.0,0.25,0.44,0.39,13.78,0.76,0.73,3.41,0.4,7.51,6.19,0.76,0.78,0.78,15.0,4.0,10.0,29.0,1.0,0.0,0.0,3.0,0.0,4.0,11.0,14.0,18.0,5.0,10.0,10.0,9.0,4.0,4.0,17.0,2.0,0.0,0.49,0.27,0.0,1.0,0.0,0.0,29.66,19.0,19.2,1.0,0.15,0.0,0.0,0.91,0.93,0.92,21.46,2.24,1.34,5.24,0.79,11.67,8.71,1.77,2.35,1.83,26.0,4.0,7.0,37.0,2.0,3.0,0.0,7.0,0.0,5.0,13.0,24.0,28.0,3.0,6.0,8.0,11.0,7.0,1.0,25.0,2.0,3.0,0.85,0.27,1.12,1.0,1.0,0.0,36.97,30.0,30.05,1.0,0.28,1.12,1.12,1.39,1.4,1.37,8476850,8480069,,-0.12270690108783938,-0.05374136753434017
64,84764298477506,2021,Mayfield-Pulock,NYI,pairing,5on5,15,770.0,150.0,0.66,0.42,0.45,7.48,1.38,0.59,1.86,0.25,2.69,2.23,1.31,1.46,1.39,9.0,0.0,2.0,11.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,8.0,8.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,3.0,0.09,0.49,0.8,0.0,0.0,1.0,11.52,9.0,9.33,1.0,0.13,0.43,0.43,1.09,1.15,1.11,7.71,0.73,0.63,1.5,0.23,4.68,3.24,0.71,0.71,0.7,9.0,2.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,9.0,11.0,0.0,0.0,1.0,5.0,3.0,3.0,7.0,4.0,0.0,0.31,0.42,0.0,0.0,0.0,0.0,14.92,11.0,10.91,0.0,0.13,0.0,0.0,0.86,0.84,0.82,8476429,8477506,,-0.05066899511720446,-0.07088629449971223
68,84752088477244,2021,Dumoulin-Ruhwedel,PIT,pairing,5on5,46,2695.0,383.0,0.58,0.48,0.53,29.65,2.52,2.0,7.31,0.99,15.34,11.85,2.4,2.52,2.4,29.0,11.0,7.0,47.0,4.0,4.0,2.0,4.0,0.0,12.0,16.0,25.0,36.0,4.0,8.0,13.0,26.0,5.0,1.0,31.0,6.0,3.0,0.96,0.7,0.85,2.0,0.0,2.0,46.19,40.0,39.52,1.0,0.42,0.89,0.89,2.04,2.04,2.02,25.01,1.83,1.58,5.46,0.72,14.27,11.14,1.82,1.84,1.84,25.0,10.0,15.0,50.0,1.0,0.0,0.0,10.0,1.0,10.0,13.0,24.0,34.0,2.0,4.0,11.0,23.0,9.0,5.0,25.0,9.0,1.0,0.57,1.06,0.2,0.0,1.0,0.0,50.27,35.0,35.08,3.0,0.33,0.0,0.0,2.15,2.17,2.16,8475208,8477244,,-0.06267453977075388,-0.01032732926044233
69,84740278481546,2021,York-Braun,PHI,pairing,5on5,11,4117.0,69.0,0.52,0.45,0.44,28.96,2.57,1.96,7.42,1.04,15.23,11.79,2.52,2.51,2.46,25.0,15.0,12.0,52.0,2.0,6.0,1.0,10.0,1.0,7.0,14.0,23.0,38.0,2.0,4.0,35.0,35.0,7.0,8.0,27.0,11.0,2.0,0.61,1.37,0.58,0.0,1.0,1.0,50.04,40.0,38.83,6.0,0.41,1.08,1.08,1.89,1.85,1.84,35.12,2.39,2.15,7.98,1.15,20.15,16.17,2.37,2.48,2.46,35.0,15.0,13.0,63.0,1.0,1.0,0.0,7.0,0.0,13.0,28.0,34.0,49.0,4.0,8.0,32.0,28.0,10.0,11.0,40.0,9.0,1.0,1.19,0.99,0.21,0.0,0.0,1.0,66.33,50.0,52.0,6.0,0.43,0.04,0.04,2.79,2.89,2.86,8474027,8481546,,-0.023509504731054454,-0.010625759970817106
