lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.4687E+20,2012,Etem-Lombardi-Palmieri,ANA,line,5on5,2,96,38,0.73,0.4,0.5,0.72,0.12,0.07,0.1,0.01,0.37,0.34,0.12,0.11,0.11,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12,0,0,0,0,1.82,1,0.89,0,0.01,0,0,0.14,0.12,0.12,0.78,0.04,0.07,0.12,0.02,0.43,0.33,0.04,0.05,0.05,1,0,2,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0.04,0,0,0,0,0,3.3,1,1.05,0,0.01,0,0,0.06,0.06,0.06
8.46793E+20,2012,Labrie-Hall-Pouliot,T.B,line,5on5,1,67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.06,0.04,0.2,0.03,0.34,0.33,0.06,0.06,0.06,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.06,0,0,0,0,0,2.05,1,1.04,0,0.01,0,0,0.07,0.07,0.07
8.47144E+13,2012,Hunwick-Wilson,COL,pairing,5on5,9,1771,51,0.26,0.46,0.42,12.81,0.7,0.76,3.3,0.4,7.43,5.41,0.67,0.68,0.66,14,4,8,26,0,0,0,4,0,5,9,14,18,2,7,10,16,9,2,16,1,1,0.33,0.12,0.25,0,0,0,24.61,18,17.45,2,0.15,0,0,0.85,0.84,0.8,18.38,1.95,1.44,3.87,0.58,10.02,7.14,1.81,1.94,1.81,19,6,6,31,1,2,0,4,0,10,8,18,24,2,7,11,11,5,3,16,7,2,0.55,0.81,0.58,0,1,0,31.82,25,25.25,2,0.3,0.58,0.58,1.67,1.69,1.65
8.47092E+20,2012,Carter-Loktionov-Clarkson,N.J,line,5on5,2,57,26,1,0.5,1,0.64,0.01,0.04,0.16,0.02,0.43,0.33,0.01,0.01,0.01,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0.01,0,0,0,0,0,0.85,1,0.88,0,0.01,0,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0
8.47457E+20,2012,Ullstrom-Cizikas-Bailey,NYI,line,5on5,1,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0
8.46614E+20,2012,Kane-Jokinen-Wellwood,WPG,line,5on5,26,5008,247,0.61,0.59,0.63,62.22,5.06,4.26,13.35,2.04,35.52,27.76,4.98,4.99,4.9,57,31,25,113,4,3,0,9,1,47,24,53,84,5,10,40,43,6,23,67,19,2,2.21,2.34,0.52,0,2,2,112.66,88,87.58,16,0.88,0.49,0.49,5.46,5.39,5.31,36.37,3.25,2.33,8.91,1.15,20.06,15.3,3.21,3.27,3.24,39,12,29,80,3,1,0,10,0,19,18,36,48,8,16,37,40,10,23,36,12,3,1.04,1.39,0.82,0,2,1,79.63,51,51.02,18,0.48,0.31,0.31,3.41,3.47,3.44
8.46638E+20,2012,Stamkos-Lecavalier-St Louis,T.B,line,5on5,24,1904,232,0.39,0.48,0.45,15.64,0.98,1.05,3.49,0.47,9.41,7.58,0.92,0.97,0.91,20,3,7,30,1,0,0,7,1,8,6,19,22,4,11,39,3,1,8,18,5,0,0.37,0.62,0,1,0,0,28.93,23,22.22,3,0.22,0,0.15,1.05,1.03,0.97,19.88,1.52,1.34,4.33,0.6,11.87,8.33,1.51,1.57,1.56,19,9,5,33,0,0,0,7,1,11,9,19,28,5,13,20,8,5,4,23,5,0,0.79,0.73,0,0,0,0,33.75,28,28.78,2,0.28,0,0,1.8,1.85,1.84
8.46945E+20,2012,Matteau-Henrique-Kovalchuk,N.J,line,5on5,4,164,58,0.38,0.33,0.43,2.29,0.19,0.1,0.6,0.07,1.05,0.99,0.19,0.2,0.2,3,0,0,3,1,0,0,0,0,0,2,2,2,0,0,0,3,1,1,2,1,0,0.06,0.13,0,0,1,0,3.16,3,3.15,1,0.02,0,0,0.21,0.22,0.22,2.93,0.3,0.26,0.61,0.1,1.62,1.1,0.3,0.31,0.3,3,1,2,6,0,0,0,1,0,1,2,3,4,0,0,1,1,0,0,3,1,0,0.12,0.18,0,0,0,0,5.93,4,3.98,0,0.05,0,0,0.36,0.36,0.35
8.47342E+20,2012,Foligno-Johansen-Atkinson,CBJ,line,5on5,3,115,36,0.94,0.33,0.5,0.85,0.23,0.06,0.18,0.03,0.27,0.24,0.23,0.22,0.22,1,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0.23,0,0,1,1.89,1,0.97,0,0.01,0,0,0.24,0.23,0.23,0.74,0.01,0.04,0.2,0.02,0.43,0.29,0.01,0.01,0.01,1,0,3,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0,3.88,1,0.97,0,0.01,0,0,0.02,0.02,0.02
8.47458E+13,2012,Cowen-Karlsson,OTT,pairing,5on5,3,400,18,0.52,0.4,0.46,4.52,0.21,0.22,1.11,0.14,2.39,1.93,0.21,0.22,0.22,4,2,0,6,0,0,0,2,0,3,1,4,6,0,0,1,4,0,1,5,1,0,0.13,0.08,0,0,0,0,6.33,6,6.31,0,0.04,0,0,0.26,0.27,0.27,4.86,0.2,0.28,1.43,0.18,2.92,2,0.19,0.18,0.18,6,1,2,9,0,0,0,3,0,3,1,6,7,0,0,2,7,1,2,6,1,0,0.11,0.08,0,0,0,0,8.62,7,6.69,1,0.06,0,0,0.25,0.24,0.23
