lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.4752E+13,2020,Bear-Barrie,EDM,pairing,5on5,19,614,153,0.45,0.29,0.33,2.06,0.42,0.2,0.35,0.07,1.15,0.82,0.42,0.42,0.42,2,1,1,4,1,0,0,0,0,0,2,1,2,1,2,0,6,2,2,2,0,1,0.1,0,0.32,0,0,1,4.11,3,3.05,2,0.04,0,0,0.47,0.47,0.47,4.46,0.52,0.31,1.01,0.13,2.33,1.7,0.52,0.54,0.54,4,2,4,10,0,0,0,0,0,2,4,4,6,0,0,1,9,2,4,4,1,1,0.14,0.17,0.21,0,0,0,9.91,6,6.13,3,0.06,0,0,0.58,0.6,0.6
8.47938E+13,2020,Mete-Bernard-Docker,OTT,pairing,5on5,3,705,18,0.64,0.67,0.69,6.34,0.43,0.38,1.71,0.23,3.72,2.54,0.43,0.43,0.43,5,4,1,10,1,0,0,1,1,4,2,4,8,1,2,6,7,0,0,6,3,0,0.1,0.33,0,0,1,0,9.62,9,8.72,0,0.08,0,0,0.51,0.51,0.5,3.22,0.24,0.18,0.89,0.11,1.26,1.31,0.24,0.25,0.25,3,1,1,5,0,0,0,1,0,1,2,3,4,1,2,3,5,0,4,3,0,1,0.04,0,0.21,0,0,0,5.18,4,4.15,1,0.04,0,0,0.28,0.3,0.3
8.47573E+20,2020,Toffoli-Danault-Gallagher,MTL,line,5on5,9,3958,52,0.53,0.65,0.66,44.41,2.54,2.96,10.71,1.42,27.85,19.51,2.52,2.52,2.49,46,19,20,85,5,0,0,7,1,26,26,41,60,2,4,32,40,6,15,55,10,0,1.44,1.1,0,2,3,0,82.05,65,62.92,13,0.6,0,0,3.14,3.1,3.07,23.8,2.22,1.52,5.1,0.79,13.22,10.13,2.13,2.25,2.15,24,9,13,46,2,2,2,8,2,6,13,22,31,0,0,39,20,4,16,25,7,1,0.9,0.81,0.52,1,0,1,47.67,33,34.16,15,0.31,0.59,0.59,1.95,1.97,1.95
8.47685E+13,2020,Rielly-Dermott,TOR,pairing,5on5,43,3851,269,0.64,0.52,0.56,33.53,3.49,2.5,7.28,0.97,18.22,12.52,3.33,3.51,3.36,35,10,8,53,0,2,0,8,2,14,19,35,45,3,6,13,32,10,15,31,10,4,1.14,1.22,1.13,0,0,0,53.71,45,45.51,7,0.53,0.61,0.61,3.4,3.42,3.28,26.28,1.99,1.7,6.14,0.75,14.14,10.27,1.96,2.04,2,24,11,13,48,1,0,0,7,0,13,14,23,34,6,12,18,33,4,10,24,10,1,0.65,1.14,0.21,1,0,0,47.56,35,34.95,9,0.35,0,0,2.34,2.4,2.35
8.47517E+13,2020,Ekman-Larsson-Soderstrom,ARI,pairing,5on5,2,1988,4,0.39,0.46,0.44,11.8,0.86,0.82,2.63,0.32,6.58,4.79,0.85,0.89,0.88,14,2,3,19,1,0,0,4,0,4,7,13,15,0,0,9,6,3,1,13,2,1,0.32,0.31,0.23,1,0,0,19.6,16,16.4,0,0.17,0,0,1.02,1.06,1.05,14.67,1.34,0.99,3.75,0.43,7.86,5.63,1.31,1.28,1.25,19,1,2,22,0,2,0,6,0,5,7,19,20,0,0,11,5,5,7,14,4,2,0.37,0.43,0.54,0,0,0,21.29,20,19.42,3,0.21,0.38,0.38,1.17,1.13,1.12
8.47354E+20,2020,Caggiula-Brassard-Kessel,ARI,line,5on5,5,826,48,0.7,0.62,0.63,7.41,0.77,0.51,1.85,0.23,3.77,2.88,0.75,0.7,0.69,6,4,6,16,0,2,0,2,0,3,3,6,10,0,0,3,14,1,3,6,3,1,0.17,0.33,0.26,0,0,0,15.17,10,9.34,0,0.11,0.3,0.3,0.57,0.53,0.52,4.47,0.33,0.27,1.19,0.14,2.3,1.78,0.32,0.35,0.34,6,0,4,10,0,0,0,2,0,1,3,6,6,2,4,7,7,1,3,4,2,0,0.06,0.27,0,0,0,0,10.84,6,6.37,2,0.06,0,0,0.38,0.41,0.4
8.47579E+13,2020,Chabot-Gudbranson,OTT,pairing,5on5,32,4850,176,0.47,0.53,0.54,46.05,3.23,2.89,11.1,1.56,25.95,20.27,3.04,3.21,3.03,51,14,15,80,1,5,0,17,2,17,23,50,64,14,34,27,55,6,15,54,9,2,1.56,1.12,0.55,0,1,0,78.52,65,64.02,11,0.59,0.9,0.9,2.92,2.9,2.87,39.61,3.71,2.79,9.87,1.43,22.13,15.07,3.45,3.79,3.53,38,17,17,72,4,3,2,12,1,16,19,34,51,10,28,35,26,6,16,38,12,5,1.08,1.36,1.26,1,1,2,73.69,55,56.36,5,0.58,0.77,0.77,3.51,3.57,3.53
8.47076E+20,2020,Jarnkrok-Richardson-Olivier,NSH,line,5on5,3,1056,19,0.79,0.48,0.69,5.81,0.42,0.4,1.52,0.2,3.88,2.58,0.42,0.42,0.41,8,1,2,11,1,1,1,2,0,1,4,7,8,0,0,10,10,1,1,8,0,1,0.15,0,0.27,0,0,1,10.73,9,8.81,0,0.08,0.27,0.27,0.23,0.22,0.22,2.8,0.11,0.15,0.81,0.09,1.63,1.21,0.11,0.12,0.12,1,3,8,12,0,0,0,0,0,3,1,1,4,1,2,7,9,0,1,4,0,0,0.11,0,0,0,0,0,12.33,4,4.12,0,0.03,0,0,0.14,0.15,0.15
8.47794E+13,2020,Fleury-Mahura,ANA,pairing,5on5,1,750,2,0.46,0.58,0.56,6.59,0.44,0.38,1.71,0.2,3.65,2.61,0.44,0.46,0.46,4,5,6,15,0,0,0,1,1,2,5,4,9,0,0,5,5,0,2,7,2,0,0.13,0.31,0,0,0,0,15.37,9,9.14,2,0.08,0,0,0.52,0.54,0.54,4.83,0.52,0.38,1.15,0.2,2.76,1.99,0.52,0.52,0.51,4,3,4,11,0,0,0,0,0,5,2,4,7,0,0,4,4,1,2,4,3,0,0.14,0.38,0,0,0,0,10.89,7,7.07,2,0.08,0,0,0.6,0.59,0.59
8.4758E+20,2020,Forsberg-Granlund-Kunin,NSH,line,5on5,3,821,18,0.2,0.45,0.38,4.22,0.21,0.28,1.09,0.13,2.52,1.76,0.21,0.21,0.21,5,1,4,10,0,0,0,0,0,4,2,5,6,0,0,8,6,1,2,6,0,0,0.21,0,0,0,0,0,9.88,6,5.96,1,0.06,0,0,0.27,0.28,0.27,7.48,0.82,0.48,1.63,0.21,3.72,3.14,0.79,0.8,0.77,6,4,2,12,0,1,0,2,0,1,6,6,10,0,0,6,7,2,5,8,1,1,0.28,0.16,0.37,0,0,0,12.14,10,10.07,3,0.1,0.37,0.37,0.55,0.54,0.54
